# LEMpy local minima file for target YML027W, replicate 0
# Right-hand side of tf_act():  p0 - p1(tar) + p2(reg^p4) / (p3^p4 + reg^p4)
# Right-hand side of tf_rep():  p0 - p1(tar) + p2(p3^p4) / (p3^p4 + reg^p4)
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv
# Computed on:  2021-11-18 12:24:17 
 
model	loss	p0	p1	p2	p3	p4
YML027W=tf_act(YIL131C)	288.2787404105581	0.07372795868653838	0.0131225891237962	0.0	89.24314834837278	4.2786171028776465
YML027W=tf_act(YIL131C)	288.2787404107827	0.07372630609347458	0.013122516037668033	0.0	89.44114896126904	4.244466416812702
YML027W=tf_act(YIL131C)	288.2787404107705	0.07372637112546812	0.013122518942660599	0.0	89.36879546972983	4.211863324078915
YML027W=tf_act(YIL131C)	288.278740410822	0.07372607641149652	0.013122507650672816	0.0	89.60074274697912	4.240033595566193
YML027W=tf_act(YIL131C)	288.27874041077814	0.0737263602528396	0.013122517250565654	0.0	89.38255497199364	6.9743141777285915
YML027W=tf_act(YIL131C)	288.2787404108795	0.07372597786526129	0.013122496423083446	0.0	89.51877445132847	7.034614824767487
YML027W=tf_act(YIL131C)	288.2787404108245	0.07372609411167388	0.013122506590746496	0.0	89.35606588153117	7.0012104871421785
YML027W=tf_act(YIL131C)	288.27874041132253	0.07372532472529347	0.013122448793840577	0.0	89.890439163618	7.062442161200124
YML027W=tf_act(YIL131C)	288.2787404110914	0.0737256592201214	0.013122471109747605	0.0	89.83510747414739	7.143183347696277
YML027W=tf_act(YIL131C)	288.278740474095	0.07368573567584531	0.013120616562003853	0.0	88.6885737275831	6.7939934666925765
YML027W=tf_rep(YIL131C)	84.04185686203664	0.0	0.11253333724764544	16.098234392098224	21.34025384880504	5.0485853852215286
YML027W=tf_rep(YIL131C)	84.04185676084931	0.0	0.11253219758631984	16.098524741628687	21.339936411005432	5.048479794017487
YML027W=tf_rep(YIL131C)	84.04222632482201	0.0	0.11249744051700046	16.06917128922469	21.360511677441202	5.057925479626624
YML027W=tf_rep(YIL131C)	84.04185676096402	0.0	0.11253217046368474	16.098520941856673	21.339936118110728	5.048479663399741
YML027W=tf_rep(YIL131C)	84.04185676408166	0.0	0.1125323278595579	16.098453387493382	21.34000042575883	5.04850317637771
YML027W=tf_rep(YIL131C)	84.04185681247695	0.0	0.11253104788757642	16.098333476245706	21.339905282728008	5.048452857135164
YML027W=tf_rep(YIL131C)	84.04185676086365	0.0	0.11253219444846023	16.098524351701357	21.339936831807428	5.04848023868187
YML027W=tf_rep(YIL131C)	84.04185676151933	0.0	0.11253219349821521	16.09853864969009	21.339916848121415	5.048467246899201
YML027W=tf_rep(YIL131C)	84.04185676170701	0.0	0.1125321140863206	16.09853591211775	21.3399226417311	5.048475010422082
YML027W=tf_rep(YIL131C)	84.04185676165103	0.0	0.11253220270811432	16.09851479821307	21.33995564145401	5.048491943556009
YML027W=tf_act(YNL068C)	288.2787404105942	0.07372754360924046	0.013122571627060084	0.0	89.23028133559038	4.276642977986138
YML027W=tf_act(YNL068C)	288.2787404106307	0.07372725611055464	0.013122558384579064	0.0	89.42828194848663	4.242492291921193
YML027W=tf_act(YNL068C)	288.27874041061796	0.07372733954121467	0.013122562596122512	0.0	89.35592845694742	4.209889199187407
YML027W=tf_act(YNL068C)	288.27874041074074	0.0737265652619592	0.013122538853458694	0.0	89.58836549841567	4.238109913323295
YML027W=tf_act(YNL068C)	292.26756731565126	0.1871215252256781	0.02019860753621911	0.1803642571022183	89.62481375464188	3.576076258363952
YML027W=tf_act(YNL068C)	288.2787404108371	0.07372603986353482	0.013122503851039378	-2.7755575615628914e-17	89.6663052795213	4.26088011835641
YML027W=tf_act(YNL068C)	288.27874041197487	0.07372574399040449	0.013122444745089066	0.0	89.19089029253	5.61068740133211
YML027W=tf_act(YNL068C)	288.2787404108812	0.07372582253392088	0.013122494727087073	0.0	89.73809283942386	5.7172048919720915
YML027W=tf_act(YNL068C)	288.2787404108232	0.07372605114483546	0.013122509305156302	0.0	89.62615377557974	5.741569117397207
YML027W=tf_act(YNL068C)	288.2787404107523	0.07372643674182987	0.013122523664452344	0.0	88.10240817509685	5.618790086223767
YML027W=tf_rep(YNL068C)	272.0647185406819	0.0	0.024274589010088915	2.7099646530318675	27.270087886558418	4.556702327603838
YML027W=tf_rep(YNL068C)	266.44213557402543	0.0	0.026065865170489772	1.3108810674177067	38.93514706756322	10.0
YML027W=tf_rep(YNL068C)	266.44256298953877	0.0	0.026044923207199693	1.3165258423028976	38.873705921345184	10.0
YML027W=tf_rep(YNL068C)	266.4421354886679	0.0	0.026066190593082586	1.3109712291900257	38.934478981119405	10.0
YML027W=tf_rep(YNL068C)	266.4421354954986	0.0	0.026066529839866733	1.3109874303710474	38.934538948698915	10.0
YML027W=tf_rep(YNL068C)	266.44213548872636	0.0	0.02606616170209671	1.3109805588938641	38.934391976337714	10.0
YML027W=tf_rep(YNL068C)	266.4463150520191	0.0	0.02599582779111141	1.3281047611610346	38.7453193665444	10.0
YML027W=tf_rep(YNL068C)	266.44213549194467	0.0	0.02606597556927043	1.3109658144330996	38.93439198757342	10.0
YML027W=tf_rep(YNL068C)	266.4421354896715	0.0	0.026066186519949124	1.3109655991017028	38.934508293588856	10.0
