# LEMpy local minima file for target YDR451C, replicate 0
# Right-hand side of tf_act():  p0 - p1(tar) + p2(reg^p4) / (p3^p4 + reg^p4)
# Right-hand side of tf_rep():  p0 - p1(tar) + p2(p3^p4) / (p3^p4 + reg^p4)
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv
# Computed on:  2021-11-18 12:24:17 
 
model	loss	p0	p1	p2	p3	p4
YDR451C=tf_act(YIL131C)	316.7337854160945	0.0	0.000575006732958397	0.0	100.0	1.0
YDR451C=tf_act(YIL131C)	316.73378541608866	0.0	0.0005750069529275173	0.0	100.0	1.0
YDR451C=tf_act(YIL131C)	316.73528465473237	0.0013659311257863177	0.0006001429613100585	0.0	99.92764649585959	1.0
YDR451C=tf_act(YIL131C)	316.73378541608906	0.0	0.0005750069418485275	0.0	100.0	1.0373747293621316
YDR451C=tf_act(YIL131C)	316.7337854160891	0.0	0.0005750069401750258	0.0	100.0	1.0179476062627328
YDR451C=tf_act(YIL131C)	316.7337854160889	0.0	0.0005750069420855257	0.0	100.0	1.0
YDR451C=tf_act(YIL131C)	316.73378541608906	0.0	0.000575006936017133	0.0	99.84334067525884	1.0
YDR451C=tf_act(YIL131C)	316.7337854160889	0.0	0.0005750069426745826	0.0	100.0	1.0
YDR451C=tf_act(YIL131C)	316.7337854160889	0.0	0.0005750069474735972	-5.551115123125783e-17	99.86073502490561	1.0
YDR451C=tf_act(YIL131C)	316.733785416026	0.0	0.0005750122491244357	0.0	99.49236082991354	1.0
YDR451C=tf_rep(YIL131C)	164.8337728003491	0.0	0.027127370861869685	16.939467718770857	15.432185971116816	3.3969529678061074
YDR451C=tf_rep(YIL131C)	164.84833715233924	0.0	0.02709801300219671	16.550147305862296	15.635049437884009	3.426091537650957
YDR451C=tf_rep(YIL131C)	164.8511805182969	0.0	0.02707743603080466	16.502040360213623	15.658703043128867	3.4304996069580933
YDR451C=tf_rep(YIL131C)	164.85645373130808	0.0	0.02710443113304086	16.427874149281177	15.711416076904655	3.438598909684775
YDR451C=tf_rep(YIL131C)	164.84371032489875	0.0	0.02697593673179684	16.728608254155517	15.542359272357144	3.424493453633702
YDR451C=tf_rep(YIL131C)	164.83180625029001	0.0	0.02712017514165412	16.935270463035817	15.410229867345626	3.3885742672250214
YDR451C=tf_rep(YIL131C)	164.82764924368695	0.0	0.027121232650918852	17.157102438126792	15.281529031590537	3.367842287941597
YDR451C=tf_rep(YIL131C)	164.8294615297233	0.0	0.02712302991863482	17.03603807676118	15.352085852204144	3.3791200115065325
YDR451C=tf_rep(YIL131C)	164.82704635810177	0.0	0.027132844712369382	17.378253620719278	15.15850640273438	3.348014725144615
YDR451C=tf_rep(YIL131C)	164.83353560113102	0.0	0.02715745766549792	17.766301697318983	14.9502831881183	3.315090833815923
YDR451C=tf_act(YNL068C)	316.73378541610305	0.0	0.0005750064164349255	0.0	100.0	3.894232334437099
YDR451C=tf_act(YNL068C)	316.73378541608866	0.0	0.0005750069529275173	0.0	100.0	3.8600816483721547
YDR451C=tf_act(YNL068C)	316.733785416089	0.0	0.0005750069424657094	0.0	99.92764650402779	3.8274768236376753
YDR451C=tf_act(YNL068C)	316.7337854160889	0.0	0.0005750069416566335	0.0	100.0	3.867396736245202
YDR451C=tf_act(YNL068C)	316.7337854160892	0.0	0.0005750069374034057	0.0	100.0	4.152937651890661
YDR451C=tf_act(YNL068C)	316.7337854160892	0.0	0.0005750069369440866	0.0	100.0	4.11231222411696
YDR451C=tf_act(YNL068C)	316.7337854160892	0.0	0.0005750069382693576	0.0	99.83036648709493	4.420459557197439
YDR451C=tf_act(YNL068C)	316.73378541608906	0.0	0.0005750069405191536	0.0	100.0	4.6771210739277
YDR451C=tf_act(YNL068C)	316.7337854160892	0.0	0.0005750069372370021	0.0	99.88232863610679	4.694244591873087
YDR451C=tf_act(YNL068C)	316.73378541608923	0.0	0.0005750069374541814	0.0	99.36676444205648	4.5493291014042025
YDR451C=tf_rep(YNL068C)	298.80504914050397	0.0	0.00821677770392164	1.3978476126885013	39.52926017861315	10.0
YDR451C=tf_rep(YNL068C)	298.7848293559033	0.0	0.008141050521910033	1.4304594798415449	39.152986800335974	10.0
YDR451C=tf_rep(YNL068C)	298.78535451249894	0.0	0.008128463670843447	1.435693997113229	39.09337756844852	10.0
YDR451C=tf_rep(YNL068C)	298.8071282102502	0.0	0.00820985685838386	1.4861404924021333	38.82970684253384	10.0
YDR451C=tf_rep(YNL068C)	298.81782887991716	0.0	0.008054343823452608	1.4632768982785824	38.77187587044187	9.986702319855091
YDR451C=tf_rep(YNL068C)	298.7848293557334	0.0	0.008141076361301207	1.4304556333649348	39.15303265726845	10.0
YDR451C=tf_rep(YNL068C)	298.79203355544354	0.0	0.008093962348994132	1.4498583775877731	38.93333909293291	10.0
YDR451C=tf_rep(YNL068C)	298.78482935704875	0.0	0.00814102937419789	1.4304613217664155	39.152952300071476	10.0
YDR451C=tf_rep(YNL068C)	298.784829358519	0.0	0.008141000194192156	1.4304404506772572	39.15305620504628	10.0
YDR451C=tf_rep(YNL068C)	298.83735326919816	0.0	0.008016941945937392	1.4839948219224763	38.56746392730907	10.0
YDR451C=tf_act(YCR065W)	198.9982523659221	0.0	0.15367223027445923	30.09145729353326	93.89428775140043	1.458339208509911
