# LEMpy local minima file for target YOR083W, replicate 0
# Right-hand side of tf_act():  p0 - p1(tar) + p2(reg^p4) / (p3^p4 + reg^p4)
# Right-hand side of tf_rep():  p0 - p1(tar) + p2(p3^p4) / (p3^p4 + reg^p4)
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv
# Computed on:  2021-11-18 12:24:17 
 
model	loss	p0	p1	p2	p3	p4
YOR083W=tf_act(YIL131C)	312.69964277026617	0.0	0.0018172696046390357	0.0	96.96280701182803	1.0
YOR083W=tf_act(YIL131C)	312.69964277026565	0.0	0.0018172696203414634	0.0	97.16080762472428	1.0
YOR083W=tf_act(YIL131C)	312.70054441369433	0.0014502584903714139	0.0018432757976568595	0.0	97.08845410394147	1.0
YOR083W=tf_act(YIL131C)	312.69964277026605	0.0	0.001817269608936342	0.0	97.31829488053823	1.0
YOR083W=tf_act(YIL131C)	312.69964277026617	0.0	0.001817269604612176	0.0	97.34665825082537	1.0
YOR083W=tf_act(YIL131C)	312.6996427702662	0.0	0.0018172696051555084	0.0	96.86006805480939	1.0
YOR083W=tf_act(YIL131C)	312.69964277019994	0.0	0.0018172749818529	0.0	96.67110304139695	1.0
YOR083W=tf_act(YIL131C)	312.69964277026617	0.0	0.0018172696059888015	0.0	97.01014042346866	1.0
YOR083W=tf_act(YIL131C)	312.6996427702661	0.0	0.0018172696056592073	0.0	96.38485327795566	1.0
YOR083W=tf_act(YIL131C)	312.69964277026617	0.0	0.0018172696075108928	0.0	95.87354879906559	1.0
YOR083W=tf_rep(YIL131C)	308.43871454678384	0.0	0.014285354499050376	0.9659577115221885	69.25835552363385	1.6537958929250105
YOR083W=tf_rep(YIL131C)	308.4585234169968	0.0	0.014266678152996645	0.9633846815608346	69.46041913250932	1.6532283018896017
YOR083W=tf_rep(YIL131C)	308.45169535684664	0.0	0.014330186971985662	0.971944274048541	69.38958266077982	1.6286965284453687
YOR083W=tf_rep(YIL131C)	308.4614359284255	0.0	0.014288729883414305	0.9727699693445352	69.46737271095726	1.5949671029807928
YOR083W=tf_rep(YIL131C)	308.49467226677103	0.0	0.014904298638992782	1.0420596785610743	69.43318114595861	1.4544818916043474
YOR083W=tf_rep(YIL131C)	308.336566006525	0.0	0.013917539648533971	0.9368453286450779	68.19507860662415	1.7098031531677873
YOR083W=tf_rep(YIL131C)	308.3174781494314	0.0	0.01467365069380536	1.0133329051443558	67.97092021234057	1.5864143785335485
YOR083W=tf_rep(YIL131C)	308.34055665459454	0.0	0.014816967695306247	1.042461937779361	67.82866521226806	1.4718151252308986
YOR083W=tf_rep(YIL131C)	308.32143124619614	0.0	0.01517229560962383	1.0954233723182774	66.81871524148826	1.3637969974122723
YOR083W=tf_rep(YIL131C)	308.1003991069161	0.0	0.014299274381799789	0.976473647881508	66.03887430971103	1.7413628256480436
YOR083W=tf_act(YNL068C)	312.6996427702923	0.0	0.0018172687036036926	0.0	89.46887416917889	4.051144269999331
YOR083W=tf_act(YNL068C)	312.69964277026577	0.0	0.0018172696195620963	0.0	89.66687478207514	4.016993583934386
YOR083W=tf_act(YNL068C)	312.69964277040236	0.0	0.0018172658814199346	-1.1102230246251565e-16	89.59452124595862	3.9843885893409605
YOR083W=tf_act(YNL068C)	312.6996427702661	0.0	0.0018172696060592367	0.0	89.8985051351017	4.04455054605059
YOR083W=tf_act(YNL068C)	312.69964277026617	0.0	0.0018172696024104213	0.0	89.95782440454514	4.406800535152138
YOR083W=tf_act(YNL068C)	312.69964277026605	0.0	0.0018172696047055216	0.0	90.12416081489405	4.848968801353108
YOR083W=tf_act(YNL068C)	312.6996427702661	0.0	0.0018172696039242906	0.0	89.94116076243311	4.937670644908991
YOR083W=tf_act(YNL068C)	312.69964277026617	0.0	0.0018172696073523898	0.0	90.47248738419029	5.073972179053413
YOR083W=tf_act(YNL068C)	312.69964277026656	0.0	0.0018172695915729124	0.0	90.45541216692581	5.430231267328108
YOR083W=tf_act(YNL068C)	312.69964277026617	0.0	0.00181726960364827	0.0	89.95553206153835	5.253583071900731
YOR083W=tf_rep(YNL068C)	290.5913826943079	0.0	0.009661309718226487	1.9892293815561424	36.385245352003736	9.989403839392013
YOR083W=tf_rep(YNL068C)	290.56247545135807	0.0	0.00956988511702953	2.0498614378489717	36.01024853455878	10.0
YOR083W=tf_rep(YNL068C)	290.56287017026057	0.0	0.009558100083890998	2.058444007267419	35.959520336852	10.0
YOR083W=tf_rep(YNL068C)	290.575734385084	0.0	0.009602878176067168	2.117659674900835	35.760249076985154	10.0
YOR083W=tf_rep(YNL068C)	290.58113582088043	0.0	0.009488823768855858	2.110037218999621	35.66299610891796	10.0
YOR083W=tf_rep(YNL068C)	290.56247545160676	0.0	0.009569856855913121	2.04986356500273	36.010205020304696	10.0
YOR083W=tf_rep(YNL068C)	290.5708731632578	0.0	0.009515442009887718	2.0899022473040407	35.776945866487715	10.0
YOR083W=tf_rep(YNL068C)	290.56247545361026	0.0	0.009569806375711452	2.049858924863685	36.01017193607799	10.0
YOR083W=tf_rep(YNL068C)	290.56247545216274	0.0	0.00956984456644883	2.049870471136286	36.01016543820908	10.0
YOR083W=tf_rep(YNL068C)	290.5624754514905	0.0	0.009569936020535125	2.0498687946560064	36.01026201069043	10.0
YOR083W=tf_act(YCR065W)	266.7508749249816	0.0	0.057360264978817216	13.312157310678092	99.99995921349606	1.6728744236012958
