# LEMpy local minima file for target YCR065W, replicate 0
# Right-hand side of tf_act():  p0 - p1(tar) + p2(reg^p4) / (p3^p4 + reg^p4)
# Right-hand side of tf_rep():  p0 - p1(tar) + p2(p3^p4) / (p3^p4 + reg^p4)
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv
# Computed on:  2021-11-18 12:24:17 
 
model	loss	p0	p1	p2	p3	p4
YCR065W=tf_act(YIL131C)	288.557621992034	0.1614443234492687	0.00591902217583429	0.0	91.66858154672106	3.7931562033241097
YCR065W=tf_act(YIL131C)	288.55762135214155	0.1601774416452068	0.005893341226851076	0.0	91.86658215961731	3.7590055172591654
YCR065W=tf_act(YIL131C)	288.557624092416	0.16168173586129167	0.00592376409407721	0.0	91.79422872924393	3.7264016731718383
YCR065W=tf_act(YIL131C)	288.55762484478345	0.16175162945712707	0.005925258022893172	0.0	92.0269422535272	3.7663750677398844
YCR065W=tf_act(YIL131C)	288.55761942608603	0.1607275184415193	0.0059044422596408516	0.0	92.04237073349144	3.8455128112425707
YCR065W=tf_act(YIL131C)	288.55762219881484	0.16147040693569567	0.00591940202604777	0.0	92.22890507613307	4.788907621924456
YCR065W=tf_act(YIL131C)	288.5576194265717	0.1607263278204824	0.0059044034354546245	0.0	92.03783126736002	4.554072917262655
YCR065W=tf_act(YIL131C)	288.5576194347335	0.16072419976770125	0.005904308223128673	0.0	92.57451404655292	4.755649779202451
YCR065W=tf_act(YIL131C)	288.55761944388786	0.16069737840683979	0.0059038212507132905	0.0	92.52943967842013	5.1002747156445425
YCR065W=tf_act(YIL131C)	288.55761943690106	0.16070750729761668	0.005904038185100551	0.0	92.08149746466614	5.105017158848795
YCR065W=tf_rep(YIL131C)	83.40332639735615	0.0	0.05641636957262235	13.617986562672485	23.116460764775315	4.356810360204628
YCR065W=tf_rep(YIL131C)	83.40332640615311	0.0	0.05641648828636732	13.61797435145168	23.11648086005088	4.356811343860119
YCR065W=tf_rep(YIL131C)	83.40333680844579	0.0	0.05641377928819971	13.61332879685817	23.1216675709207	4.358871221743467
YCR065W=tf_rep(YIL131C)	83.4038578450902	0.0	0.05639339695852321	13.583482011702	23.15382932317273	4.371674125128584
YCR065W=tf_rep(YIL131C)	83.4139155556049	0.0	0.05651852254944656	13.775924154008125	22.94546182045826	4.290163630683364
YCR065W=tf_rep(YIL131C)	83.4517239238812	0.0	0.05660812816862649	13.958868803362863	22.740195587344484	4.213087698054059
YCR065W=tf_rep(YIL131C)	83.50902704098749	0.0	0.05670036141336768	14.129368724574036	22.54994252145818	4.142943041676618
YCR065W=tf_rep(YIL131C)	83.40332638752432	0.0	0.056416489959807636	13.618107348597615	23.116342018820443	4.356760497610693
YCR065W=tf_rep(YIL131C)	83.40332638615942	0.0	0.05641657119742235	13.6181204116689	23.116349782984837	4.356763356280201
YCR065W=tf_rep(YIL131C)	83.4033263881156	0.0	0.056416465818159726	13.618103536862249	23.11633893768852	4.35675912965589
YCR065W=tf_act(YNL068C)	288.5576219510527	0.1614391692225077	0.005918909312793218	0.0	89.81887044038687	4.015738599712258
YCR065W=tf_act(YNL068C)	288.5576213859002	0.1601723722417407	0.005893240236274358	0.0	90.01687105328313	3.981587913647314
YCR065W=tf_act(YNL068C)	288.55762403673975	0.16167626503391058	0.005923653345832763	0.0	89.94451754203209	3.9489834064765623
YCR065W=tf_act(YNL068C)	288.55762169154997	0.16140260601473808	0.00591819400636109	0.0	90.17795930437657	3.9865060887432073
YCR065W=tf_act(YNL068C)	288.55761942593927	0.16072768268599702	0.0059044327708252095	-1.1102230246251565e-16	90.1936833100355	4.029763744599927
YCR065W=tf_act(YNL068C)	288.5576194259849	0.16072756688568887	0.005904430602662701	0.0	90.37924146863942	4.741776306688045
YCR065W=tf_act(YNL068C)	288.557619426571	0.16072629539121405	0.0059044033235111605	0.0	90.16422779506527	4.168295199374991
YCR065W=tf_act(YNL068C)	288.5576194260651	0.16072726808012675	0.005904428658184349	0.0	90.72069813269142	4.443945437412491
YCR065W=tf_act(YNL068C)	288.5576194421824	0.16070751360672925	0.005903978111123557	0.0	90.71955743624689	4.955405131659041
YCR065W=tf_act(YNL068C)	288.5576194255642	0.16072869824235972	0.005904465321656367	0.0	90.29131024329074	4.709811534209177
YCR065W=tf_rep(YNL068C)	248.32322779848215	0.0	0.016190314743156402	1.646067912955931	43.88933929265921	10.0
YCR065W=tf_rep(YNL068C)	248.36632448432073	0.0	0.016262443930776936	1.6324904331240147	44.114680041421906	9.966026100620287
YCR065W=tf_rep(YNL068C)	248.38181182846608	0.0	0.016246008181169044	1.636347985977799	44.05508527196169	9.933560774510656
YCR065W=tf_rep(YNL068C)	248.310015662138	0.0	0.01607463691203005	1.6639880268014924	43.57496943398142	10.0
YCR065W=tf_rep(YNL068C)	248.3096185919753	0.0	0.01607948050318214	1.6687494882611982	43.53513964438358	10.0
YCR065W=tf_rep(YNL068C)	248.30957403109716	0.0	0.016072800459015348	1.6700623889732837	43.51472341465816	10.0
YCR065W=tf_rep(YNL068C)	248.31432409430465	0.0	0.016003437488922325	1.684432357874709	43.29811488161374	10.0
YCR065W=tf_rep(YNL068C)	248.30957396361384	0.0	0.016072822282443364	1.6701369472516476	43.51401419965938	10.0
YCR065W=tf_rep(YNL068C)	248.30957396393234	0.0	0.016072794031390517	1.6701357894345203	43.51399904825467	10.0
