# LEMpy all scores file for replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Ground truth edge list:   
# Computed on:  2025-11-11 12:23:42 
 
model	pld	loss	norm_loss
Ophio5|3300=tf_rep(Ophio5|1479)	0.0569686	515.0204619254488	0.5599714908910965
Ophio5|8321=tf_act(Ophio5|756)	0.0565917	575.5115398737943	0.5439514979885423
Ophio5|4218=tf_act(Ophio5|8584)	0.0560579	557.9792217618386	0.9465022729139955
Ophio5|5850=tf_act(Ophio5|1479)	0.0557902	650.3780918439567	0.8130161645443069
Ophio5|997=tf_rep(Ophio5|6835)	0.0553613	516.9957349519563	0.8573274911211903
Ophio5|5850=tf_act(Ophio5|6835)	0.055286	650.9583526877276	0.8137415294536635
Ophio5|8584=tf_act(Ophio5|3300)	0.0533002	421.43476824507707	0.6586268530493219
Ophio5|3760=tf_rep(Ophio5|1479)	0.0529997	578.129883582909	0.6632504496299294
Ophio5|512=tf_act(Ophio5|84)	0.0515682	522.95556380885	0.8249845919157889
Ophio5|392=tf_act(Ophio5|2137)	0.0513315	591.6445879936404	0.6444326646459793
Ophio5|997=tf_rep(Ophio5|2237)	0.050622	502.63341488828246	0.8335106373360943
Ophio5|2056=tf_rep(Ophio5|756)	0.0500011	508.32432262968274	0.9999999999999282
Ophio5|2056=tf_rep(Ophio5|392)	0.0500011	508.3243226296832	0.9999999999999291
Ophio5|2056=tf_rep(Ophio5|1654)	0.0500011	508.32432262968274	0.9999999999999282
Ophio5|2056=tf_rep(Ophio5|84)	0.0500011	508.32432262968285	0.9999999999999284
Ophio5|2056=tf_rep(Ophio5|2056)	0.0500011	508.3243226296825	0.9999999999999277
Ophio5|2056=tf_rep(Ophio5|4218)	0.0500011	508.32432262968285	0.9999999999999284
Ophio5|2056=tf_rep(Ophio5|2137)	0.0499972	508.31227182381963	0.9999762930763626
Ophio5|8584=tf_act(Ophio5|392)	0.0495905	459.3451212639624	0.7178739261154369
Ophio5|1479=tf_rep(Ophio5|3300)	0.0471819	459.51382223837936	0.6280943534034665
Ophio5|392=tf_rep(Ophio5|3300)	0.0467468	560.666231271156	0.6106903379617725
Ophio5|4218=tf_rep(Ophio5|2237)	0.0461413	565.425385820866	0.9591332292856436
Ophio5|5850=tf_act(Ophio5|392)	0.045662	679.1445203547574	0.8489761264015409
Ophio5|512=tf_act(Ophio5|3760)	0.0448083	519.8003892371626	0.8200071701488449
Ophio5|2137=tf_act(Ophio5|2237)	0.0443856	447.7369491914633	0.5468355112138064
Ophio5|6835=tf_act(Ophio5|1654)	0.0435209	412.48220473084035	0.7354685718172053
Ophio5|3760=tf_act(Ophio5|8321)	0.0434656	595.7190955697125	0.6834293974583728
Ophio5|4218=tf_act(Ophio5|2056)	0.0425875	574.5860653221398	0.9746725247131947
Ophio5|4218=tf_act(Ophio5|6920)	0.0418336	570.1515188359613	0.9671501866675993
Ophio5|392=tf_act(Ophio5|756)	0.0415455	597.9408231881417	0.6512906664023883
Ophio5|5850=tf_act(Ophio5|2137)	0.0414235	658.0696200133184	0.82263108978573
Ophio5|5850=tf_act(Ophio5|756)	0.0411278	659.7673629957022	0.8247533821956823
Ophio5|392=tf_rep(Ophio5|2056)	0.0402609	556.1087562745782	0.6057262331331257
