time_points	90	105	120	135	150	165	180	195	210	225	240	255	270	285	300	315	330	245
FOX2	517.0839077	704.0922311	810.9774461	748.9058885	760.6525777	821.6207212	890.1029727	1110.835515	1126.122814	1333.944265	1325.814478	1342.704614	1501.397833	1570.030061	1805.068854	1778.719768	2110.51779	2167.535424
YDL157C	5682.306796	6297.983081	7169.169048	7997.578937	8135.930866	8380.635098	7743.035585	7251.895204	6964.954324	6663.178853	6633.592377	6842.01121	6975.964864	6415.585139	7251.391763	6881.430556	7888.16385	7487.69958
PCL6	1163.093477	1344.707942	1392.865832	1345.456594	1338.033192	1340.018541	1396.074777	1204.961564	1216.254055	1098.366346	1121.368581	1099.899097	1004.902346	963.2559998	961.5108186	1011.176923	1004.448572	915.9588441
PKP2	288.1622035	432.7108118	552.4815143	519.7922491	531.6240062	560.2664646	643.6654281	627.3915578	578.5388013	618.1699317	642.2194222	599.6377722	554.711957	557.606561	590.4167475	587.4519828	608.4644625	577.8714843
PHO8	1981.643358	2139.403892	2467.219792	2524.81164	2763.381176	3265.208906	3299.838358	3194.195379	3523.62734	3646.079291	3634.573382	3710.634969	4102.703772	4646.018612	4766.156529	5066.698239	5294.102361	5885.179749
DAT1	974.1169135	748.9929075	603.9780531	605.6766652	552.943318	496.3865933	477.3758801	446.5944445	389.510868	458.5515346	518.3530651	526.3168662	529.0459139	555.8439494	563.6463066	608.1400974	584.225628	568.7555398
COA1	1614.880296	2206.183922	2470.974876	2687.024404	2977.390192	3422.489727	4366.995487	4018.993915	3712.962338	3820.85614	3800.496972	4543.571968	4207.377209	4003.257276	5148.232636	3500.136917	4390.170387	3900.421895
YPR003C	547.8592809	550.2887926	549.0204008	514.0303504	530.3160618	639.5066423	612.127678	660.2207052	792.7855889	718.6105697	687.9248342	718.3118782	735.7974838	777.5509321	723.5834474	756.3567391	718.3938032	708.3130369
AIF1	1211.254792	1290.85233	1269.859255	1364.127885	1401.09324	1404.181112	1422.092143	1378.577418	1305.536227	1442.305977	1214.887496	1160.486737	1189.621838	1160.350848	1273.176704	1244.362902	1251.271587	1249.779624
PRP40	2286.740799	2278.010809	1992.236667	1834.016736	1746.348287	1808.736865	1827.8835	1703.793656	1714.79241	1816.868263	1830.003525	1821.29805	1793.867494	1772.281064	1918.52958	1977.053616	1943.180574	1896.330089
YJL147C	1109.522694	1097.326432	1024.074806	964.4403558	905.4583314	805.1207601	931.0646531	842.8524338	814.1190618	833.848042	808.9307961	854.077582	818.1844298	857.9951927	858.1279824	875.7469576	884.7709539	985.0288851
RRI1	278.719425	311.0975505	350.73202	370.3542623	334.3323215	355.7743036	312.8159355	336.6188532	281.6835984	312.9313387	314.5053141	230.4158644	292.4541916	269.3213181	272.5164602	236.5507012	271.8585926	224.7031291
YNL320W	1917.248488	2179.957774	2433.959803	2467.904637	2574.789617	2778.482094	2870.451392	3123.018318	3249.296768	2764.637661	2803.046473	2871.118008	3108.728847	3013.70417	2777.545976	2422.108483	2447.480464	2765.359458
STE20	5513.48755	4925.581635	5165.978153	4812.677359	4680.772449	4303.118579	3825.25004	3019.716675	3401.91203	3212.564512	3240.539336	3315.866038	3179.508988	3401.984785	3501.756753	3463.319636	3546.830254	2894.04451
GRE1	384.7382831	282.2092511	267.0217983	245.3140772	248.3237186	263.0603916	265.9597516	316.9555215	304.5986266	431.1257139	448.3605063	474.841951	563.787608	641.1515809	827.799413	966.9488606	1122.518449	1493.721121
