time_points	40	60	80	100	120	140	160	180	200	220	240	260	280	300
FOX2	2044.414088	1037.825673	967.7351343	991.1176363	977.2889972	1025.148756	1353.997046	1464.470675	1648.250737	1648.348627	1604.032038	1295.691853	1614.896408	1372.505277
YDL157C	7980.770799	8211.314946	9324.710891	10551.08922	10359.53418	9037.18074	7833.39571	7421.587535	7951.406174	8314.709328	7703.587117	7752.011622	8265.977349	7104.11624
PCL6	1170.525533	954.6301917	896.3040228	997.5005578	1036.05059	1092.70283	1137.84248	1068.984772	1119.278721	992.5409922	992.43047	901.4910912	840.8562703	926.1176033
PKP2	621.7768034	329.2496929	370.3695899	403.9481958	367.7812086	502.2213785	499.8893098	525.6908674	544.6224311	527.5028638	564.6210507	535.0161008	459.2372414	536.5793932
PHO8	1651.082407	1307.899124	1360.735587	1839.90234	2490.035619	2372.969286	2207.756459	2372.023027	2606.402919	3157.354579	3518.842774	3693.514766	3922.105806	4735.778424
DAT1	993.488514	1278.911148	1384.677714	1143.634506	1089.247429	950.1290272	897.4336581	876.7701827	892.8267073	764.4460248	799.4432353	623.2353745	655.6667345	541.7575192
COA1	1127.610621	1340.538766	1449.476393	2301.263462	2154.370447	2503.617065	2008.219234	2478.712766	2476.53264	2811.877261	2891.343983	2593.447673	2949.66708	2615.81359
YPR003C	604.8213285	625.1386179	626.9141845	591.2312299	710.5332992	743.4206936	826.9971737	882.5987558	873.3123647	918.2495183	999.5668234	933.4349752	1015.675909	1181.434534
AIF1	2399.638801	2187.815366	2348.775962	1808.037565	1505.011834	1541.592071	1430.703191	1553.931506	1634.768611	1706.641347	2104.151037	1781.925124	1806.387425	1978.466607
PRP40	2702.26412	2255.956975	2206.558615	1985.659615	1723.832674	1922.300634	1877.749253	1834.708773	1942.454983	1927.599431	1618.307758	1633.721736	1637.640503	1357.44362
YJL147C	1478.28243	1386.15708	1225.779954	1262.3252	1230.923156	1213.736512	1291.213337	1064.64453	982.1839136	988.2704265	755.2329503	679.6372171	733.9541201	673.4095452
RRI1	417.5295189	347.2316954	258.7696341	270.4535261	266.6112788	224.7724485	281.6587314	265.4960194	335.7521701	288.9100801	281.206481	349.3599385	309.4915533	294.4086781
YNL320W	2828.436529	1932.728327	2096.667552	2457.176412	2995.115489	3178.284727	3933.948924	4141.103035	4648.841996	4935.866867	4753.24529	5376.593988	5508.322469	6586.372612
STE20	4558.882684	4815.021863	4177.173426	4085.950205	3628.234478	3554.285049	3655.325356	3848.359106	3611.342667	3664.982035	3478.966319	3241.157429	3204.305124	3518.952304
GRE1	7716.143374	666.2762028	353.9658785	251.5378409	305.949127	274.7963133	292.8160334	277.9048563	257.1395669	265.215993	282.2737415	362.2732838	260.5812359	292.0904609
MRPL31	3125.055878	3508.745262	3806.746451	4068.97596	3601.848469	4056.362205	4340.313327	4623.547745	4525.570214	4479.059797	3232.761094	3549.155122	3897.29856	3043.65099
SPC98	770.9211823	1050.874841	1073.495673	1296.487932	1387.827865	1174.908018	772.6098228	569.4861319	489.0490372	518.0325606	484.2718133	501.6507578	576.2533871	429.9006781
OAR1	390.8731698	355.451337	311.140777	292.5055697	323.1158	326.5691438	273.3256262	297.8651026	291.3799083	302.6279723	376.8058012	338.738978	289.6690329	336.2486952
AMD1	2269.876842	2433.684094	2094.130503	1855.620789	1838.18188	1930.966709	1950.118483	1823.137419	1987.438177	2188.393605	3070.981977	2354.472959	2338.301346	2416.608916
SBH1	7471.525113	8163.199476	8668.819902	11162.1621	11692.70721	10955.27535	10371.80398	10561.76112	9313.754723	9839.376542	10736.38901	10661.00576	10588.98037	10090.52807
POT1	251.790882	177.3940451	176.0981201	337.9559856	127.8171319	176.1795811	154.6082275	150.0901761	195.9443269	144.7566916	170.5140349	209.8651845	171.2460234	211.5290597
YLR050C	9876.639714	5340.42987	3842.698414	5059.639149	5805.543876	5062.052466	3288.542103	2735.556388	3179.315864	4622.295894	3861.188446	6689.05262	6855.316564	7057.135374
CYC2	1073.262454	997.5996571	1204.226856	1103.08139	1053.370896	1028.644485	852.7797337	879.4035116	1047.446161	1098.895681	870.9973066	906.6513137	921.7505202	882.8240993
COQ10	1447.895599	1474.792478	1630.881728	1402.325204	1341.30326	1233.572234	1560.052177	1730.886962	1814.998182	1731.601996	1835.837678	1735.112035	1887.295794	1548.636342
VIK1	453.7854575	616.0074021	462.289691	729.2882043	1013.563045	1258.216162	977.9451456	783.2599084	745.0968586	681.070053	664.5067948	629.1273591	687.675212	561.1898344
STP4	2572.455589	676.0136664	700.2198926	847.3428599	966.1847488	1128.612511	1201.21054	1283.516671	1354.955468	1570.466584	2530.274449	2028.683997	1708.257616	2063.563917
YDR056C	10074.86278	8862.660745	8506.541456	8157.620665	7339.084904	7247.830161	8002.0656	7824.451177	7297.408215	7076.471325	5093.191774	6661.545842	6939.470966	5823.07057
SAL1	1057.835449	1039.78978	919.3916535	958.5369865	887.8181691	832.7627238	776.566501	788.015856	779.9108052	807.5341063	821.1713316	773.6238825	786.7039652	698.1948645
SRB8	545.4661472	508.8154631	456.6537878	442.1519679	450.025036	437.6431378	440.5118086	496.1709644	489.8988964	561.1262786	677.8913911	586.8812796	581.5255354	533.4887847
STE7	996.1561923	1064.975156	1095.452826	963.2871692	834.1420537	732.2820409	762.1586732	750.2167001	727.847859	695.6407768	706.8964264	641.9658005	677.9861716	583.1195769
YCR024C-B	15714.0881	16610.55445	16366.54842	15591.67309	16631.94153	16511.93173	18042.00635	19352.55942	17612.34192	17692.57965	17960.19565	16911.7881	18259.48433	19056.02086
