time_points	0.5	6	10.5	15.5	16.5	20	23.5	27
Phatr2_17265	1796	15468	25642	12529	5596	4287	5742	13043
Phatr2_45141	457	3520	4916	2080	1516	1329	1625	2580
Phatr2_50366	3304	44628	58905	23662	18071	18733	15932	32587
Phatr2_16052	655	9842	7156	2826	1992	2604	2241	4070
Phatr1_46580	4019	35617	41993	18957	23619	20106	14370	33382
Phatr2_43772	2514	17411	17689	15079	13539	10647	9724	18506
Phatr2_54765	366	5945	10308	7022	4276	1898	1590	3762
Phatr2_50525	3524	33694	83364	64877	49727	25844	18386	20568
Phatr2_46597	3628	38310	94198	52953	35066	19278	18873	21948
Phatr1_35000	8114	45942	90738	57799	32663	15161	18989	25589
Phatr2_34685	2549	12840	37699	22155	11305	4424	6328	6790
Phatr2_51970	3477	14423	30235	23617	17234	9977	9156	10892
Phatr2_48518	1209	3758	8808	7915	3692	3592	2135	3508
Phatr2_45763	4292	16075	26066	29334	15773	12272	9017	10201
Phatr2_48684	2300	9723	13284	4548	3683	2768	3088	5363
Phatr2_55096	4168	12753	17650	9246	3941	3694	4228	8375
Phatr2_47174	1940	4356	5108	3945	1794	1398	1557	3977
Phatr2_49162	10306	21309	27150	17146	10959	7506	8465	19489
Phatr2_43313	442	2982	2724	2326	582	431	362	2210
Phatr2_31433	21954	53065	53582	25352	16196	18714	16649	36630
Phatr2_54738	11796	22533	41492	23962	18364	11506	12412	16777
Phatr2_44098	37104	70158	104402	75804	56377	38503	40299	63619
Phatr2_33260	11314	28161	57020	40781	23146	14039	12970	22706
Phatr2_46444	32858	97179	132274	86107	53613	40880	37076	59269
Phatr2_42479	9387	24288	52651	25912	15357	13665	12413	15136
Phatr2_48558	1638	3218	8428	2813	1461	1196	1369	1730
Phatr2_49596	16363	32742	54160	42442	17681	10453	10888	23870
Phatr2_14802	6315	14717	28242	14568	5890	4620	4819	9280
Phatr1_52406	1261	9848	9378	3946	3028	3652	2761	12019
Phatr2_48899	1645	8579	7788	5774	3411	2508	2639	8088
Phatr2_45428	796	2769	2858	2761	1723	1289	1456	3496
Phatr2_18049	27621	124209	158151	99170	53864	51878	45143	86123
Phatr2_30031	29594	121456	143817	82510	60982	54088	46364	93806
Phatr2_44092	3575	14110	26548	11680	8260	6335	6516	10715
Phatr2_30643	82320	179596	188946	146770	104875	111899	102737	151011
Phatr2_16302	4569	25496	24597	16406	8977	10107	8579	15777
Phatr2_17766	40777	161873	181477	116496	67250	73244	69813	106829
Phatr1_17424	1547	4151	3009	2757	3034	2223	1841	3641
Phatr2_49335	1988	6445	6839	4486	4213	3451	3113	5724
Phatr2_37743	210	686	481	346	361	308	296	611
Phatr2_34920	1982	7250	7234	3622	3925	3392	2748	3392
Phatr2_44767	3882	21142	16682	9334	8982	7517	6174	13962
Phatr2_9277	2034	9129	9396	3717	3736	3657	3282	5746
Phatr2_42850	17326	53974	72465	43942	17744	17362	29296	46650
Phatr2_43304	8463	29146	26937	19748	12695	10604	15514	31544
Phatr2_45054	1908	12617	16103	3129	2894	3416	4696	7412
Phatr2_37667	9719	39724	81567	23308	16760	11939	21167	27760
Phatr2_46174	2469	3922	5809	1593	1260	1901	2142	3558
Phatr2_45046	2187	3755	5390	1419	1280	1489	2148	3390
Phatr2_43085	13040	25690	37226	12533	7920	11953	14693	23492
Phatr2_36928	1437	2972	4410	1666	633	881	1355	2402
Phatr2_46965	3764	9890	8226	3757	2224	3134	4024	7915
Phatr2_34157	12239	22334	27107	11707	8182	8557	12020	20410
Phatr2_45099	645	3090	1480	821	276	430	618	932
Phatr1_46575	6262	14594	24673	8604	3142	3808	5345	7968
Phatr2_43424	7562	20135	27919	17629	6691	6147	8717	15981
Phatr2_49128	17327	37607	60564	27194	14414	14722	19885	30052
Phatr2_24119	15463	78277	58573	28969	20545	26996	27854	60454
Phatr2_42604	14142	60297	57927	21860	20098	25936	26335	53285
Phatr2_8760	1012	5185	2715	1350	1504	1578	1539	3227
Phatr2_46657	1584	6853	5270	2861	1976	1829	2175	4864
Phatr2_47972	994	4910	5060	2955	2251	1665	2001	4133
Phatr2_43297	97	351	375	140	117	112	153	327
Phatr2_35603	3523	9898	8621	3788	3318	3820	4568	8722
Phatr2_44761	6152	22005	18650	8242	7018	7894	8534	20583
Phatr2_49482	6481	21040	15244	9093	5782	7328	7900	17387
Phatr2_44665	434	1788	1264	389	512	455	528	1188
Phatr2_27534	5314	16364	12688	4708	4325	5622	7025	16694
Phatr2_43631	11285	34832	20162	9860	9405	10709	12309	27776
Phatr2_54560	411	1093	917	306	311	362	348	652
Phatr2_11883	4150	10733	9444	4223	4607	3828	3911	6832
Phatr2_11368	556	1561	1564	582	591	539	533	1000
Phatr2_44199	2190	5318	3999	3144	2811	2127	2172	5242
Phatr2_43308	1337	3359	2081	1542	1706	1333	1364	3597
Phatr2_43245	10461	28637	30830	12034	11966	9776	10672	26487
Phatr2_46418	4204	12027	8768	4073	5287	4083	4178	10742
Phatr2_43314	2583	7060	5261	4250	2204	2165	2526	5922
Phatr2_48786	7962	20743	15246	7538	6112	5734	6623	13234
Phatr2_48971	2650	5224	3125	2081	1794	1647	1890	3955
Phatr2_44556	9549	14234	17639	10588	5582	6300	8328	13541
Phatr2_44313	13086	23897	27337	13606	7090	9449	12812	22187
Phatr2_47383	4814	7847	9836	4232	3562	3791	4256	7584
Phatr2_50347	7509	12258	14563	6255	4938	5033	5873	12191
Phatr2_49358	8988	14289	17003	7442	5912	6046	7007	14167
Phatr2_44384	8002	19207	21787	12170	8614	7422	9145	15994
Phatr2_43990	5934	11801	16443	7887	6163	5829	7144	10343
Phatr2_17326	90993	185777	187595	153257	89355	100625	112654	150482
Phatr2_31778	3424	7364	6305	4661	2910	2845	3381	5739
Phatr2_43884	1827	4293	4820	2033	1782	1852	1843	3736
Phatr2_47080	6183	14952	15499	9364	5611	6250	6665	12632
Phatr2_27696	8818	19366	19471	10282	8436	8667	9556	17575
Phatr2_50169	5172	12854	10594	6239	5535	5412	6342	12789
Phatr2_44648	390	826	857	558	443	371	432	901
Phatr2_55100	1368	10673	7020	1208	1037	1436	1688	9104
Phatr2_31683	27448	126370	70528	19318	7146	23937	22618	84526
Phatr2_49639	13842	54282	37022	14382	4260	9308	12937	49362
Phatr2_28497	7281	44133	24764	5595	6439	4374	4701	29116
Phatr2_12401	7754	39549	22212	4733	3983	4471	5024	23800
Phatr2_46676	7781	34138	19307	6344	4389	5263	5857	35399
Phatr2_10724	15134	44783	19146	3234	3815	4661	6572	39849
Phatr2_21228	3795	21201	4886	2440	1113	1519	1985	15044
Phatr2_44951	660	3438	2092	879	434	436	609	1652
Phatr2_47079	3886	22198	22820	11321	4063	3385	5297	19148
Phatr2_46033	4926	26721	30654	9134	5074	5392	8003	30080
Phatr2_48226	3633	19338	20495	11383	1891	1826	3440	14122
Phatr2_44259	7066	51414	63997	38761	10937	6738	11425	40887
Phatr2_30690	2942	24810	16714	7680	2326	4624	5488	17783
Phatr2_8324	3654	24736	18050	8617	2934	6757	6439	17008
Phatr2_45419	3128	33959	21187	4846	5075	5385	8397	29977
Phatr2_49003	6467	37026	64296	8186	6111	6283	10495	23861
Phatr2_54219	2927	16310	20464	4422	2789	3530	4868	12334
Phatr2_12051	3312	5434	4990	5543	3340	2505	2629	5203
Phatr2_44482	7394	11013	13536	10826	5624	4871	4831	9207
Phatr2_42560	9872	11412	13204	10459	6768	6420	5706	9429
Phatr2_10963	2707	5997	5258	2850	2540	2142	2001	3628
Phatr2_13505	332	830	596	411	348	293	269	522
Phatr2_49965	2321	4216	4985	3340	2687	2394	2213	4709
Phatr2_46808	7587	14946	15309	10753	8426	6505	6077	12920
Phatr2_44630	3992	8900	8178	5905	4576	3967	3537	7312
Phatr2_43021	2403	3202	3012	2243	2026	1760	1562	3360
Phatr2_15472	36614	58161	53076	31742	38121	29840	26368	56620
Phatr2_34093	18614	31042	25661	18788	16953	13578	11956	29163
Phatr2_46626	10676	12881	10346	7730	6561	6142	5469	10787
Phatr2_42612	101884	124537	106207	80988	54023	59187	52210	102626
Phatr2_28743	1888	3575	2238	1773	1430	1311	1160	2179
Phatr2_49261	128	202	115	124	105	78	72	155
Phatr2_48934	1782	2561	2592	1449	1672	1474	1298	2275
Phatr2_9005	16810	23069	23582	12811	16965	13034	11346	19228
Phatr2_15948	3493	5448	5457	3090	3372	2932	2571	4748
Phatr2_38924	471	712	600	356	374	339	288	556
Phatr2_15083	9501	15029	13897	10064	10231	8576	8020	17136
Phatr2_45171	192	283	248	229	223	198	171	480
Phatr1_46601	2881	3666	4146	3166	2406	3090	2130	4353
Phatr2_43917	4120	6028	5942	4568	3263	3856	3224	7219
Phatr2_33692	1783	3808	2865	2488	2314	1718	1564	4138
Phatr2_45960	4783	9962	6444	7020	6198	4625	3895	9540
Phatr2_39921	311	686	430	382	392	277	245	589
Phatr2_23399	50912	82544	55764	53502	55858	46492	34260	101419
Phatr2_37659	902	1697	1438	1084	1153	899	696	1845
Phatr2_46971	159	326	210	243	286	190	156	487
Phatr2_49612	697	1086	828	1183	920	766	627	1730
Phatr2_30471	2624	5176	2086	2982	3367	2682	2000	5222
Phatr1_56991	975	1403	641	902	962	763	641	1435
Phatr2_43771	25129	72937	41109	41237	18577	28304	24982	71332
Phatr2_41756	7951	19227	11186	9462	5143	9774	7842	16060
Phatr2_50283	971	1245	1136	804	733	892	604	2217
Phatr2_23497	56169	77154	79148	49616	47390	54116	36549	80064
Phatr2_33664	23093	33370	30668	16196	15145	18090	14545	36157
Phatr2_50168	10331	18799	12052	7332	6349	7704	6601	13931
Phatr2_46841	8332	21776	11248	9855	7267	7736	6284	16151
Phatr2_27286	7133	13669	9142	7713	5598	6176	5453	13863
Phatr2_39711	1981	5075	3022	1804	1897	2008	1640	4244
Phatr2_48130	4099	9651	7006	4509	4347	4083	3558	7690
Phatr2_33304	16038	33734	13010	10763	10452	9717	10786	27156
Phatr2_11795	2296	6050	2370	2036	1486	1437	1514	3851
Phatr2_7736	1268	2500	1273	1191	757	822	820	1681
Phatr2_49544	9707	16798	10793	4019	4428	4718	5356	16528
Phatr2_46607	1682	2087	1496	617	546	726	790	2238
Phatr2_44529	5223	13837	5528	2996	3566	4066	3532	10014
Phatr2_34681	2251	3354	1996	956	1101	1224	1133	2878
Phatr2_44221	284	375	133	106	117	121	110	267
Phatr2_5142	2109	2009	1524	1051	826	922	828	1828
Phatr2_50742	103191	122868	98597	55907	46787	54646	51584	110349
Phatr2_45098	14272	14226	12194	7545	6621	6473	6231	10974
Phatr2_31822	1675	2205	1401	1450	771	806	756	1778
Phatr2_4604	5195	4822	3053	2899	2471	1805	1901	3685
Phatr2_33195	1715	3295	2706	1281	848	906	956	1708
Phatr2_36608	2372	4275	2984	1666	1248	1258	1300	2904
Phatr2_16581	3720	6358	5436	2715	2285	2171	2076	4602
Phatr2_31558	6541	11102	7653	5753	4492	3574	3627	6947
