time_points	38	54	70	86	102	118	134	150	166	182	198	214	230	246	262
FOX2	1634.750804	1092.528178	1001.956001	892.0288253	948.0122951	974.840921	971.8109485	1070.315355	1038.667989	1047.75288	1038.244128	1042.720887	1179.314338	1195.170259	1260.327253
YDL157C	3394.935164	4805.459242	5814.465546	6648.247895	8431.781441	8770.148795	7671.202541	6447.580585	5364.221647	5144.330461	5396.165542	5557.442826	5751.605048	6026.944667	6097.746391
PCL6	989.1027918	945.0353744	849.5633743	845.8582815	902.0693118	925.0568728	938.1302733	998.0601507	1000.11599	937.7190307	927.1241499	888.6996357	944.2388338	878.6860566	840.6266486
PKP2	453.8803056	304.4404274	303.702946	330.3087549	341.5314101	362.9950634	437.8963114	432.1773534	446.0567577	451.5980433	493.3099343	486.0169076	555.2939075	571.4558616	562.410928
PHO8	1613.766914	1367.688789	1372.304129	1781.017129	2597.125287	2696.175202	2841.869206	3526.413046	4110.551226	4346.473007	4515.485547	4675.385394	4698.295685	4641.048885	4751.61228
DAT1	1467.808816	2454.416571	2198.451831	1766.407642	1684.244415	1437.515755	1544.695411	1339.973336	1350.100132	1269.509797	1185.109796	1036.82201	979.6623468	979.6438192	938.025361
COA1	1507.567642	1220.661679	1683.882044	1697.375377	1849.091417	1865.115815	1819.115348	1933.359151	1822.067014	1916.833444	1992.601861	2077.216795	2147.252713	2337.176046	2371.583026
YPR003C	515.0204122	486.6606427	475.6356825	989.8453253	442.1665916	408.3815116	386.5488692	375.1519991	359.5396636	351.3204118	384.0808873	365.1557229	368.7678155	395.4958364	407.7158622
AIF1	3378.7543	2787.054355	2598.573566	2447.831275	2307.452604	2263.959774	2356.277555	2372.660267	2593.96083	2722.83686	2830.346872	2989.703502	3025.288837	3083.494559	3107.786889
PRP40	2219.768486	1889.861098	1719.386281	1600.329484	1582.225748	1656.791054	1818.09452	1886.544108	2202.78092	2080.656342	2182.642605	1942.465017	2014.42963	1994.32094	1872.481316
YJL147C	822.122713	775.2061635	689.3472625	695.8849538	659.9509284	699.4730957	660.640326	619.4321565	609.0260509	556.1686241	523.1343946	485.7931691	465.2478508	460.1008739	493.6919853
RRI1	296.4819356	263.5124179	233.008932	298.9110554	253.2647645	278.5528822	276.7299584	292.3324674	299.3575703	289.1690367	297.5072678	286.4668481	306.889579	317.5148346	297.7102147
YNL320W	2730.021345	1887.949822	1789.797243	1616.45037	1949.942299	2298.361026	2468.882683	2708.860536	2783.274027	2755.682567	3056.737308	3079.546672	3131.600878	3151.682319	2979.07929
STE20	3878.820789	4969.105385	4239.830601	3826.098315	3762.297571	3567.039719	3505.171971	3576.588572	3656.679722	3613.242426	3590.696435	3488.553848	3563.23546	3412.126475	3136.680298
GRE1	14389.90676	1043.895163	309.1808263	351.1313039	285.5220471	248.669593	260.7650779	256.4580174	294.0719609	308.2474801	388.0516054	560.6384853	757.5219974	1042.904428	1210.334313
MRPL31	1734.674926	1864.148019	1877.333482	1917.091782	1831.459946	2144.536914	2225.902613	2664.369531	2849.93389	2806.587542	2806.167843	2747.488575	3154.537955	2834.513987	2641.906151
SPC98	434.8006928	693.2627866	658.3937728	824.445827	1369.531859	1757.162327	1728.173813	1560.776932	1478.671988	1334.483303	1237.258896	1081.610608	1035.946946	1131.264246	1088.303444
OAR1	457.6194259	429.7285027	556.535809	828.3791486	460.0183479	380.6871947	317.6880468	317.2640456	302.0177806	282.734179	267.3346706	285.0330232	227.1091747	232.1798267	221.1049689
AMD1	3747.082463	4405.309578	4213.426432	3718.662496	3632.625816	3404.166932	3381.095189	3496.952139	3359.463701	3508.381376	3486.002779	3629.768338	3706.585604	3842.510351	4069.84298
SBH1	7010.196993	6755.198509	8315.898416	9675.171598	10752.49615	11494.10126	11235.43357	10895.43411	10532.40701	10009.80708	10299.87497	10003.71418	10148.4532	10218.50833	10261.91732
POT1	239.1105968	158.0432016	156.033467	292.6418667	164.5358608	159.0656597	151.2735151	154.4300093	143.5945021	139.9608424	153.8480228	142.6569656	191.5982506	228.9117665	267.864577
YLR050C	4832.627982	2232.740445	2227.992046	3433.609516	4157.582485	3956.172852	2812.520649	1948.631601	1555.346928	1670.485031	1949.401764	2322.64142	2528.413126	2959.672054	3413.185048
CYC2	764.7772984	842.6042679	827.2900529	921.5461149	841.9355464	884.9279669	878.003892	890.1762743	905.9387235	920.9992704	904.5892466	842.0036044	847.8422774	814.7774113	811.1909719
COQ10	1002.61378	1032.017644	936.9626269	1130.047001	769.8849794	858.8128874	1068.31156	1197.483326	1240.958327	1308.017787	1287.406013	1267.287493	1263.090158	1375.962096	1312.496023
VIK1	297.6191022	366.5932133	348.9470039	421.8117474	627.1450853	826.5889615	810.9420963	735.4451069	616.1054137	595.7526384	536.8226282	454.0324729	417.8829676	410.5748113	341.9409684
STP4	4570.19402	2867.205007	2173.968361	2079.104018	1665.590436	1711.122718	1809.330388	1662.026502	1473.770126	1220.448524	1127.721231	994.2240271	888.0073479	840.5930504	772.5878741
YDR056C	4134.047664	3673.678596	3680.568859	3493.687736	3431.0696	3493.454689	3517.329998	3769.639135	3718.478575	3928.457021	3917.04431	3821.035939	3533.022588	3476.096129	3376.473877
SAL1	777.8940134	953.4368325	895.734054	761.4815789	949.4932485	876.8895542	886.5396106	862.1037359	808.2795125	838.1360918	833.417693	862.3535722	871.1018598	845.1448626	818.0990364
SRB8	1128.417279	1155.456562	996.7563608	901.1330603	912.7740851	863.9288807	828.6309135	814.4074331	821.0004828	810.4216738	803.3115672	804.7692041	702.1959302	715.5843673	691.3253158
