Ophio5|955	4.05	41.49	4.5	6.23	4.43	4.24	10.65	42.39	17.94	5.13	5.46	5.56
Ophio5|954	6.54	8.9	6.04	8.87	5.72	6.04	10.66	7.85	6.27	13.01	4.68	6.77
Ophio5|953	55.85	75.95	57.91	94.72	49.61	35.26	105.02	90.42	65.38	105.99	43.33	64.07
Ophio5|952	16.13	21.93	17.53	17.48	16.91	18.58	25.49	27.12	18.86	32.82	14.46	23.61
Ophio5|951	29.11	36.99	29.98	45.83	30.35	36.27	38.23	37.6	34.25	44.93	28.17	37.15
Ophio5|950	67.98	58	72.15	130.23	72.02	64.11	78.79	59.72	82.34	67.7	68.47	71.43
Ophio5|94	72.71	78.34	75.42	103.33	67.51	68.09	89.7	86.55	98.34	77.33	59.18	80.52
Ophio5|949	43.82	37.6	33.09	60.38	46.68	57.54	41.48	35.45	34.49	44.19	37.73	39.69
Ophio5|948	4.12	2.6	2.99	4.85	3.45	3.39	3.78	3.9	3.79	3	2.5	3.63
Ophio5|947	0.24	0.06	0.32	0.16	1.02	0.88	0.41	0.27	0.33	0.43	0.69	0.57
Ophio5|946	0.65	1.09	0.44	0.17	0.7	2.8	0.28	0.54	0.63	0.28	0.77	0.49
Ophio5|945	0.97	0.43	0.75	0.12	2.29	4.08	0.89	0.53	0.86	0.71	2.02	1.49
Ophio5|944	83.13	122.67	76.19	21.58	73.53	74.29	98.24	113.88	58.16	118.08	64.4	70.22
Ophio5|943	470.57	635.27	424.68	323.17	371.42	271.68	547.1	654.16	410.03	806.3	278.4	468.09
Ophio5|942	103.19	125.06	96.38	32.04	81.89	62.39	111.44	121.12	94.99	123.73	78.8	109.77
Ophio5|941	29.2	27.68	34.75	45.95	40.3	29.02	44.18	33.54	44.4	31.22	47.89	66.07
Ophio5|940	180.98	161.76	268.45	451.44	249.6	220.45	267.44	244.52	340.31	298.94	259.44	347
Ophio5|93	29.81	36.26	34.72	66.68	37.96	41.73	47.46	36.99	38.4	49.07	46.58	50.6
Ophio5|939	59.59	68.1	51.22	29.13	55.91	57.33	62.67	73.35	51.62	76.91	49.61	60.1
Ophio5|938	0	0	0	0	0	0	0	0	0	0	0	0
Ophio5|937	0	0	0.13	0	0	0	0.04	0.08	0.08	0	0	0.02
Ophio5|936	35.99	47.59	33.95	51.8	36.47	26	58.54	48.76	47.35	67.02	35.12	52.76
Ophio5|935	38.93	36.45	43.35	14.53	41.85	33.07	36.01	41.88	35.8	34.4	34.66	32.74
Ophio5|934	183.83	203.72	167.95	169.14	155.08	136.02	216.23	218.47	202.56	194.77	131.19	180.74
Ophio5|933	18.47	19.73	19.36	24.89	16.52	13.75	25.94	21.26	23.31	24.26	15.57	23.82
Ophio5|932	39.25	48.76	43.28	46.31	39.19	35.92	52.13	55.66	52.61	55.62	36.21	54.08
Ophio5|931	30.58	29.01	29.55	35.66	27.78	23.08	39.54	34.26	39.2	35.38	29.86	43.55
Ophio5|930	32.4	44.11	28.22	24.57	30.99	23.65	37.3	47.85	27.33	60.79	22.51	34.07
Ophio5|92	41.3	29.62	36.61	88.72	48.44	54.91	43.14	35.26	48.98	40.03	52.7	46.31
Ophio5|929	0.48	0.99	0.6	0.15	0.46	0.02	2.56	0.9	0.53	0.45	0.49	0.5
Ophio5|928	5.29	9.97	8.65	4.64	7.25	4.32	9.47	12.34	6.87	12.38	6.63	5.99
Ophio5|927	1.1	1.35	3.97	4.41	4.55	7.24	1.88	1.99	3.07	3.47	3.31	5.29
Ophio5|926	18.23	16.36	28.02	63.64	31.39	32.63	19.45	20.19	26.5	22.5	29.69	29.18
Ophio5|925	22.86	30.18	26.31	38.11	26.29	18.23	42.78	33.64	29.99	31.12	20.32	31.42
Ophio5|924	78.83	73.25	55.67	134.27	99.09	53.17	91.79	39.64	56.08	28.35	58.31	52.71
Ophio5|923	28.9	25.51	28.55	16.89	26.44	23.84	27.13	24	28.88	23.24	28.78	27.51
Ophio5|922	425.34	577.71	409.25	1167.08	362.2	241.18	495.09	510.5	472.08	733.77	262.45	518.92
Ophio5|921	37.44	54.97	33.53	32.31	30.98	22.17	58.63	53.44	46.66	59.91	28.63	46.04
Ophio5|920	63.21	80.62	67.41	62.09	56.79	44.3	112.82	96.42	87.46	96.26	52.45	77.83
Ophio5|91	22.28	16.15	20.59	20.4	18.03	16.98	20.71	18.53	23.41	21.26	17.18	24.16
Ophio5|919	80.34	80.75	71.33	27.4	61.4	62.78	68.26	73.8	58.66	69.71	57.85	69.31
Ophio5|918	28.44	28.28	30.73	44.02	37.68	28.06	53.63	36.84	52.34	42.17	39.4	50.44
Ophio5|917	8	4.9	8.16	3.38	6.35	5.41	12.14	8.26	7.95	9.03	8.1	9.29
Ophio5|916	45.24	47.05	34.12	11.45	33.96	35.67	43.15	44.22	28.4	42.39	32.74	36.03
Ophio5|915	99.64	82.2	97.92	42.69	110.66	120.2	85.09	77.36	90.94	75.39	120.39	98.62
Ophio5|914	13.55	4.42	26.32	62.72	34.73	47.3	12.34	8.22	19.53	8.83	38.37	33.97
Ophio5|913	59.49	51.12	54.86	91.17	55.02	45.01	75.01	54.64	71.57	62.95	51.46	77.28
Ophio5|912	13.17	10.98	10.23	6.01	7.51	4.82	10.04	11.31	13.18	11.37	7.15	10.41
Ophio5|911	42.97	45.18	45.59	61.65	47.43	53.44	52.03	44.34	49.21	46.7	46.12	54.53
Ophio5|910	40.11	41.69	40.05	51.3	40.5	30.67	53.2	44.28	43.05	52.47	37.64	56.51
Ophio5|90	3.14	2.79	3.7	2.61	2.44	2	5.27	3.79	3.42	3.57	3.26	4.86
Ophio5|909	16.79	8.55	14.46	42.66	18.07	12.02	17.94	11.53	16.5	13.67	16.73	20.7
Ophio5|908	53.7	49.89	52.54	154.54	67.7	62.52	51.34	48.13	63.39	66.47	77.48	92.28
Ophio5|907	21.68	17.6	23.61	39.27	21.96	15.69	28.16	19.15	32.6	23.13	23.56	28.3
Ophio5|906	1.71	0.73	0.76	0.44	0.74	0.38	1.62	0.31	1.4	1.08	1.53	1.24
Ophio5|905	10.3	9.23	8.48	26	13.08	7.54	16.14	8.96	8.74	11.52	7.89	11.87
Ophio5|904	16.88	12.86	13.04	25.69	13.97	13.41	20.67	14.28	18.65	19.25	13.36	21.64
Ophio5|903	16.73	10.9	15.71	9.49	14.58	16.06	18.51	12.42	17.02	10.8	18.33	22.95
Ophio5|902	183.14	201.26	189.21	252.96	204.55	177.19	243.63	215.89	209.23	236.43	169.79	206.21
Ophio5|901	45.46	45.15	53.03	129.78	49.87	40.17	78.76	50.12	64.92	68.14	54.19	70.02
Ophio5|900	104.6	88.18	93.02	115.92	79.38	96.9	124.83	97.76	119.3	126.61	80.08	113.84
Ophio5|8	21.12	18.48	17.46	44.92	23.03	20.9	32.36	25.15	29.94	26.99	18.92	36.11
Ophio5|89	12.15	12.24	14.17	15.99	16.47	13.88	12.77	16.01	11.88	13.25	14.39	17.34
Ophio5|899	49.28	52.41	40.04	52.7	38.97	25.3	84.79	59.31	58.63	68.28	34.87	63.8
Ophio5|898	38.92	34.52	34.37	23.9	38.54	27.92	47.09	39.82	34.95	56.02	36.97	47.09
Ophio5|897	34.95	35.82	45.53	59.19	37.88	32.26	49.52	44.28	53.95	43.69	42.98	61.11
Ophio5|896	153.12	115.52	176.22	179.89	154.05	135.32	159.37	135.36	242.25	157.69	177.47	225.88
Ophio5|895	158.04	166.8	202.99	95.94	186.31	163.59	224.06	209.43	222.48	235.94	164.7	242.17
Ophio5|894	102.23	89.5	102.18	38.7	105.02	112	102.55	104.23	93.44	102.88	99.93	96.97
Ophio5|893	2.72	1.07	1.74	0.87	1.46	0.27	4.15	2.09	6.35	0.66	0.44	1.15
Ophio5|892	22.77	23.68	24.32	19.34	21.41	14.56	19.15	43.61	20.11	57.4	11.06	12.32
Ophio5|891	15.01	11.04	24.41	48.9	22.15	26.79	23.86	11.54	22.58	13.04	22.8	20.98
Ophio5|890	114.93	89.6	71.38	91.92	83.83	98.83	120.82	76.81	81.03	41.87	45.54	57.64
Ophio5|88	13.48	14.81	15.81	20.01	14.98	13.01	17.69	13.82	19.09	21.26	12.63	21.44
Ophio5|889	164.27	120.5	118.87	267.13	133.79	126.63	226.64	120.36	149.63	69	76.72	92.79
Ophio5|888	43.89	37.34	55.62	56.98	49.65	33.34	81.56	55.74	55.61	67.58	39.65	61.11
Ophio5|887	835.72	360.06	1414.42	2562.98	1344.07	1878.19	355.86	373.4	1391.02	481.82	1789.73	1433.20
Ophio5|886	25.1	20.37	26.95	36.81	25.42	21.98	41.21	29.86	42.31	22.4	29.98	35.55
Ophio5|885	19.44	15.79	27.63	49.62	28.67	33.38	26.62	20.15	26.9	24.15	27.66	29.21
Ophio5|884	7.4	10.44	13.56	3.87	12.64	16.18	10.19	9.8	10.58	11.76	15.33	9.69
Ophio5|883	0.34	0.65	0.9	0.13	0.65	0	0.86	0.28	0.55	1.28	0	1.35
Ophio5|882	53.28	56.45	51.21	93.27	43.22	44.57	85.62	62.15	52.82	51.41	52.22	51.23
Ophio5|881	6.41	4.31	11.82	9.71	10.16	8.15	8.43	6.17	11.45	8.49	11.47	14.88
Ophio5|880	17.5	12.25	23.04	30.82	24.6	30.5	21.71	14.81	25.19	20.2	29.2	29.03
Ophio5|87	20.79	20.12	20.33	44.41	17.92	16.24	34.76	25.82	27.18	30.41	19.56	30.22
Ophio5|879	67.42	81.06	77.02	81.67	65.99	54.4	93.74	87.16	79.66	99.05	64.02	91.3
Ophio5|878	17.19	11	16.6	44.58	20.66	16.16	17.38	10.97	16.79	15.82	17.77	20.01
Ophio5|877	24.86	40	31.66	76.43	28.63	23.31	39.34	37.53	34.71	52.72	26.23	39.28
Ophio5|876	46.03	58.55	53.16	65.78	49.6	49.38	67.13	62.03	56.78	75.69	41.93	72.87
Ophio5|875	272.11	308.55	284.77	345.98	231.97	186.02	329.48	322.91	277.23	431.68	191.75	341.64
Ophio5|874	2.43	1.86	3.24	0.7	2.55	1.4	4.92	2.74	1.24	2.11	3.65	2.43
Ophio5|873	9.56	7.13	5.32	10.56	7.03	4.46	11.9	7.41	3.71	9.9	8.13	8.25
Ophio5|872	258.24	365.09	267.87	258.37	234.89	129.84	377.39	377.03	331.17	438.65	178.72	268.79
Ophio5|871	4.48	4.05	5.2	6.52	3.41	3.14	6.28	5.83	4.89	4.14	5.13	7.08
Ophio5|870	47.19	41.49	41.54	16.68	40.88	35.8	48.98	47.22	45.05	45.46	31.85	50.47
Ophio5|86	14.96	13.37	13.05	14.91	13.34	9.04	17.36	15.83	15.98	17.67	13.05	17.6
Ophio5|869	166.31	187.43	138.88	77.25	115.75	108.22	190.04	197.79	142.38	198.73	103.24	139.37
Ophio5|868	323.09	412.93	272.19	353.86	308.54	251.94	342.68	434.25	249.73	597.44	201.22	272.87
Ophio5|867	33.03	30.7	39.78	41.33	34.07	26.78	55.85	40.36	43.39	47.25	39.92	42.6
Ophio5|866	0.7	1.48	0.47	0.68	0.68	1.38	1.35	1.44	0.72	0.22	0.53	0.79
Ophio5|865	20.76	17.34	19.05	44.57	24.64	20.78	29.26	28.77	25.93	29.9	26.99	34.93
Ophio5|864	21.1	24.71	17.21	9.15	17.93	16.55	18.16	21.98	16.54	27.85	18.39	21.26
Ophio5|863	3.81	0.92	3.75	1.24	2.72	1.58	2.74	1.97	4.6	1.01	0.8	2.31
Ophio5|862	75.67	34.45	51.31	38.15	83.59	127.23	32.2	26.84	37.87	27.01	75.79	40.59
Ophio5|8629	50.05	49.44	46.77	32.34	41.79	27.82	75.54	61.94	58.62	46.76	40.31	43.77
Ophio5|8628	102.03	58.66	153.63	48.18	160.72	152.05	63.72	56.91	174.7	57.96	184.57	178.22
Ophio5|8627	32.94	15.47	57.9	55.12	59.92	55.94	22.27	26.43	82.06	20.8	65.53	89.77
Ophio5|8626	13.49	24.45	13.03	9.01	10.85	6.39	9.26	15.7	17.8	18.08	6.35	13.18
Ophio5|8625	59.73	64.74	63.51	45.54	65.96	68.7	76.11	68.28	63.91	69.66	67.62	78.49
Ophio5|8624	36.41	28.98	37.58	45.93	33	39.41	45.62	34.79	45.8	37.26	41.6	54.2
Ophio5|8623	0.25	0.19	0.49	0.76	1.11	3.89	1.47	0.4	0.81	0.93	0.74	0.62
Ophio5|8622	15.05	14.47	11.87	5.42	9.45	8.63	15.69	17.19	13.31	15.23	11.99	15.67
Ophio5|8621	30.96	28.78	26.07	7.96	26.83	27.42	28.91	30.78	19.45	31.08	21.81	32.14
Ophio5|8620	104.42	100.35	101.88	61.25	97.26	94.21	114.26	115.02	112.38	114.34	99.75	116.71
Ophio5|861	40.49	23.94	37.43	67.54	34.78	26.58	35.67	30.68	42.43	33.78	28.8	43.22
Ophio5|8619	79.7	82.91	82.18	43.87	77.86	53.01	118.77	99.13	89.67	100.44	72.44	91.51
Ophio5|8618	106.85	150.02	109.56	116.3	101.4	82.61	171.88	163.03	127.8	164.75	88.19	139.82
Ophio5|8617	2.62	3.24	2.12	0.71	2.22	1.5	3.08	2.71	2.1	2.73	2.08	3.04
Ophio5|8616	138.03	71.13	97.03	449.01	206.12	228.6	123.44	70.45	92.95	60.9	96.1	105.21
Ophio5|8615	24.34	14.71	21.98	49.52	23.21	21.82	28.3	17.28	33.73	21.98	18.97	34.7
Ophio5|8614	34	24.45	32.72	50.58	26.17	29.25	33.44	22.03	38.66	31.98	23.56	47.08
Ophio5|8613	1.57	0.48	0.78	0.07	0.49	0.21	1.42	0.59	0.41	1.64	0.36	0.94
Ophio5|8612	27.68	24.78	29.01	80.31	32.64	31.9	30.27	23.84	36.28	33.81	24.58	36.58
Ophio5|8611	2.23	1.84	0.69	0.93	1.11	1.92	0.44	0.98	0.42	1.08	0.34	0.86
Ophio5|8610	1.43	2.26	0.64	0.95	0.68	0.88	1.14	0.94	1.17	1.62	1.62	0.95
Ophio5|860	8.78	11.22	7.11	17.27	7.52	6.02	15.71	11.14	9.36	11.18	7.21	10.56
Ophio5|8609	146.11	148.38	165.12	390.62	177.55	192.58	193.64	186.61	174.23	198.78	157.59	158
Ophio5|8608	24.69	25.11	23.24	42.16	23.8	20.17	31.61	31.17	23.94	33.61	17.18	24.07
Ophio5|8607	34.86	40.39	33.62	34.35	35.47	31.7	48.33	40.74	34.24	42.67	28.95	37.98
Ophio5|8606	20.14	24.33	18.25	7.67	14.97	8.03	62.38	38.46	20.12	22.47	10.07	13.08
Ophio5|8605	337.06	413.62	222.01	133.09	181.46	95.27	300.44	364.4	322.45	387.77	116.89	181.39
Ophio5|8604	5.32	13.45	5.15	1.92	3.13	1.97	6.38	17.15	13.95	5.89	1.96	2.14
Ophio5|8603	10.94	8.61	12.11	3.77	7.06	8.14	4.91	8.27	10.63	10.18	8.66	12.55
Ophio5|8602	0.32	0.25	2.14	0	0.21	0	1.09	0	0.79	0	0.32	1.29
Ophio5|8601	26.24	19.84	28.03	57.42	45.06	48.62	28.46	20.49	31.08	24.52	39.65	34.93
Ophio5|8600	0.71	0.81	1.18	2.05	1.6	5.12	0.15	0.73	1.16	0.33	1.95	2.13
Ophio5|85	7.89	9.38	7.79	7.37	7.68	5.34	14.7	10.76	11.22	13.75	6.13	12.75
Ophio5|859	31.71	37.89	30.76	39.68	33.8	27.63	45.91	42.01	40.14	45.38	33.93	41.88
Ophio5|8599	113.39	77.17	118.36	129.3	125.16	109	105.1	89.36	130.77	93.48	141.28	135.2
Ophio5|8598	47.2	52.98	50.38	70.27	48.37	52.89	62.25	56.26	61.2	61.37	52.91	68.46
Ophio5|8597	1.51	1.39	2.21	0.46	2.14	1.98	3.73	1.36	1.36	2	1.66	2.87
Ophio5|8596	26.1	18.38	27.39	87.71	28.12	35.64	32.72	25.32	29.7	25.46	20.24	24.48
Ophio5|8595	6.74	6.95	8.76	14.83	9.3	8.16	9.67	6.83	8.41	9.71	10.7	17.42
Ophio5|8594	43.5	42.3	33.06	13.47	33.38	27.81	40.19	46.42	46.38	47.25	42.65	57.48
Ophio5|8593	45.6	33	33.62	21.35	32.74	25.54	43.02	40.92	50.61	39.88	43.39	58.7
Ophio5|8592	131.41	92.13	148.47	159.53	148.37	134.37	106.33	94.43	218.92	102.47	160.96	224.67
Ophio5|8591	68.52	73.31	78.51	136.26	73.3	59.86	102.41	89.96	106.85	92.78	84.17	125.51
Ophio5|8590	33.73	16.52	30.67	59.94	28.13	20.7	34.64	21.53	34.48	25.66	33.72	37.5
Ophio5|858	17.76	22.56	16.09	21.08	17.23	13.86	29.13	24.76	21.05	28.72	17.43	24.97
Ophio5|8589	81.53	51.85	127.2	135.27	116.25	95.28	94.56	71.36	153.75	93.85	125.13	107.17
Ophio5|8588	52.79	44.1	49.42	176.04	45.55	48.03	60.83	48.99	70.64	68.54	38.84	60.21
Ophio5|8587	19.99	20.48	22.76	31.21	22.34	24.13	30.84	26.34	25.37	21.99	21.92	29.31
Ophio5|8586	8.03	3.88	10.75	13.18	10.57	9.27	6.38	5.24	13.16	8.06	10.57	15.77
Ophio5|8585	33.51	28.31	32.5	61.65	35.22	24.18	55.44	35.69	44.62	39.44	35.65	47.1
Ophio5|8584	23.93	30.87	20.73	24.94	18.62	13.63	45.92	32.76	24.63	34.41	15.17	23.92
Ophio5|8583	19.61	15.15	23.17	37.95	20.31	23.45	28.76	22.49	25.73	30.45	24.63	31.7
Ophio5|8582	734.72	664.16	732.11	1021.23	636.41	546.75	668.72	648.54	1176.16	893.35	795.73	1004.86
Ophio5|8581	59.21	43.35	76.42	115.02	74.39	70.06	71.92	56.54	98.13	68.5	90.97	97.29
Ophio5|8580	1990.99	1401.90	2790.97	2132.08	2643.94	2514.81	1748.69	1507.75	2579.02	1465.07	2909.48	3017.27
Ophio5|857	16.39	13.07	14.93	16.54	12.98	11.6	16.77	16.39	16.61	19.19	12.66	22.13
Ophio5|8579	93.16	89.8	131.91	161.62	120.22	112.87	130.51	100.44	153.41	126.88	130.82	191.25
Ophio5|8578	326.33	228.81	445.6	958.19	514.5	694.6	431.9	292.5	385.91	282.05	732.23	463.99
Ophio5|8577	16.18	18.51	16.01	19.91	14.79	11.76	27.69	19.36	19.82	18.57	18.96	25.36
Ophio5|8576	78.4	98.37	100.52	136.02	82.71	60.96	121.9	97.28	117.63	105.3	70.66	121.46
Ophio5|8575	23.83	28.57	19.56	35.28	19.62	15.81	34.71	30.33	21.42	41.13	15.93	22.74
Ophio5|8574	30.68	32.56	33.17	36.89	28.14	26.5	52.94	38.99	41.32	42.67	31.53	47.7
Ophio5|8573	9.15	7.07	10.3	9.95	9.1	6.59	9.82	7.98	11.48	9.16	8.43	15.17
Ophio5|8572	19.39	16.76	23.18	54.53	24.26	19.94	25.98	22.85	29.84	21.62	22.18	31.21
Ophio5|8571	134.93	176.75	149.97	145.74	143.21	85.4	230.28	223.08	162.08	289.11	122.9	149.79
Ophio5|8570	11.04	17.93	13.52	1.99	12.24	12.1	7.85	9.21	11.32	14.64	12.18	13
Ophio5|856	23.72	24.84	24.68	29.83	20.24	20.79	32.99	25.78	21.55	32.73	20.73	28.2
Ophio5|8569	13.59	13.96	14.26	20.76	16.29	17.63	16.99	16.68	14.96	24.88	12.63	17.59
Ophio5|8568	24.81	31.15	22.19	28.86	30.47	27.84	34.48	34.71	24.74	42.21	21.58	26.73
Ophio5|8567	19.58	19.8	21.46	20.17	16.29	14.57	30.25	24.38	23.53	22.94	17.34	25.67
Ophio5|8566	41.61	37.86	38.51	28.41	45.11	51.45	48.75	40.85	38.06	44.14	44.92	41.26
Ophio5|8565	2.8	3.3	4.22	4.64	4.11	4.44	4.15	5.05	6	3.39	4.66	6.96
Ophio5|8564	14.81	12.33	15.92	34.18	16.96	17.3	21.62	14.8	19.73	14.97	12.22	24.81
Ophio5|8563	7.19	18.17	8.46	11.88	9.19	5.22	14.42	14.83	12.47	17.2	6.11	12.69
Ophio5|8562	95.54	61.07	107.93	252.27	134.24	105.62	134.05	73.37	115.28	116.85	179.3	198.25
Ophio5|8561	2.36	1.78	3.24	1.82	2.8	2.78	3.23	2.88	2.19	2.48	2.71	3.91
