time_points	30	50	60	70	80	90	100	110	120	140	160	180	200	220	240	260
FOX2	2653.120101	1644.75887	1476.333491	1464.822073	1184.749947	1258.009911	1264.886544	1239.996823	1231.298775	1377.186841	1618.185639	1691.984218	1915.116686	1668.734853	1635.949184	1534.642904
YDL157C	2441.748136	4571.422189	5263.229626	6208.387588	6275.202993	6684.417925	7379.48777	7989.622148	8213.179087	7475.517081	6523.090156	6179.585601	6224.714598	5824.226003	6375.993719	6425.221474
PCL6	1620.5683	1026.076135	949.7925407	995.9893359	971.4150091	1018.139865	1116.284684	1129.9792	1213.956454	1341.565354	1426.731831	1361.361126	1350.301427	1396.873203	1340.217589	1224.515661
PKP2	1156.730914	433.055773	343.4622162	405.1770137	321.2935807	342.4862375	346.0660988	397.5031071	502.4333635	667.9524304	678.6898387	710.7257695	767.4061058	765.7609785	755.2241372	696.3458782
PHO8	3097.060302	2932.866461	2818.052675	2656.211751	2692.619164	2983.34292	3565.376569	3772.868858	4318.313514	4943.22112	5768.26612	5884.697201	6074.208942	6025.649921	6086.425573	5792.025508
DAT1	436.7153014	1024.048574	1388.341064	1265.796985	1240.882277	1056.752507	976.28491	922.5397704	737.5758849	538.3861125	366.0723358	357.7703347	350.3349112	447.9717011	478.8716595	558.775461
COA1	3786.637924	3245.616509	3290.777611	2592.496351	3480.745192	2948.472595	3398.061332	3371.432046	3447.55519	3801.516098	4162.707895	4270.65214	4592.31503	4226.80252	4617.875448	4567.80089
YPR003C	797.7301103	578.7598616	572.6395011	610.6126065	662.5447904	607.2105845	549.8142358	524.9573513	545.969126	605.6755925	754.6769183	889.3788962	904.3319882	831.3627895	944.102823	935.0567157
AIF1	1521.192696	1672.647498	1899.639973	1932.262699	1733.773161	1709.867386	1754.32152	1743.6553	1782.616068	1772.312382	1940.06541	1747.942395	1676.02065	1647.009691	1635.607167	1547.563161
PRP40	2160.617066	1866.665256	1808.04832	1721.498842	1506.956304	1574.45674	1512.354085	1478.183553	1606.872623	1528.115385	1585.811099	1472.960273	1540.932721	1488.600991	1521.507419	1454.131269
YJL147C	708.5473181	630.9426374	669.6729873	687.2668655	579.5809565	546.8109485	558.4924463	521.9430225	544.8139234	558.6691459	567.5675518	548.6162899	593.7004056	573.2877144	573.9435855	579.5813196
RRI1	748.39427	351.7605701	317.9120007	320.5102536	291.9477029	310.6813688	317.9042257	361.4496416	382.4441783	438.4750014	527.3420371	519.2094147	527.9415499	489.2501908	471.0558326	451.085498
YNL320W	3504.88937	3476.014005	3253.892587	2889.190213	3026.425784	2891.876152	3148.67103	3112.047168	3441.556207	3758.124274	4684.172167	4741.482508	4929.85086	4481.35337	4937.414028	4809.476994
STE20	2385.025955	3515.41312	3803.533012	3895.830216	3831.087848	3737.625444	3631.625647	3326.781565	3391.83053	3157.968421	2587.811608	2563.841818	2405.998003	2670.231497	2761.637263	2722.467745
GRE1	21487.73655	10319.46996	3052.847358	857.9439015	518.482459	396.8346782	377.1209065	368.1575864	374.9255802	481.6780839	713.6824373	1132.702098	1826.696579	1912.604688	1468.030221	1487.749011
MRPL31	4644.999258	5048.298697	4667.862701	4968.064484	4317.597034	4591.148948	4285.707696	4786.775349	4516.950003	4725.786773	5218.585948	5234.238993	5924.436431	5770.942871	5653.652507	5331.794283
SPC98	287.4615578	427.5814564	454.5047426	572.0458081	631.5613053	678.168818	747.1713763	989.8041808	978.5766811	967.5319415	832.5663094	740.9515427	682.705046	653.3728874	630.8804516	601.7140386
OAR1	464.3399112	530.8852269	638.2735725	454.8205292	586.606433	488.3367568	470.02576	386.4685115	326.5875116	277.7201472	236.4651637	268.3004134	268.6900988	259.7669771	336.2193697	340.1986441
AMD1	6082.674099	5007.77363	5234.991103	5008.892196	5445.445329	4704.763763	4602.058469	4508.116386	4198.589965	4475.985707	3930.502686	4333.119218	4456.81893	4848.661469	5102.045753	5055.979457
SBH1	5466.782299	6578.895558	6998.685477	7566.506314	8338.820944	8893.480999	9657.181389	10023.30089	10172.74782	9536.971033	9410.294626	8887.880113	8734.249335	8916.536785	8764.690736	8744.438784
POT1	346.6147671	154.2943321	136.6587113	139.1733102	103.9594502	112.386319	136.0399338	123.1222411	163.8025603	168.6025023	215.6156803	291.5967769	334.070956	322.4862517	317.9795753	297.1726184
YLR050C	3579.239299	4608.987537	4869.414254	4548.042509	4424.867878	5505.579804	5898.950457	5528.149043	6154.892289	5288.873829	6251.383071	6103.704834	6427.958981	6456.505579	6121.754283	6194.17923
CYC2	1010.461682	753.6305681	744.1351099	849.6010666	859.7483628	812.2293928	853.3411005	886.9592559	895.7619381	926.2843325	939.2621141	902.6990875	953.6372222	848.6271949	876.2696885	846.8327409
COQ10	1349.23164	1154.130362	1142.461344	1166.646701	1092.165715	972.4719109	886.1013665	926.335549	948.0668241	1115.572416	1098.496062	1182.166576	1196.253732	1163.146484	1101.848634	1105.553788
VIK1	397.3070245	339.6008186	367.9197067	390.1539425	348.938943	386.6398143	438.5680724	513.8904462	520.9338201	545.9050372	535.8600782	499.2826227	513.2306022	491.2385585	499.4868618	531.3010732
STP4	848.030649	1221.747881	1534.013081	2052.732131	1802.542252	1649.721129	1500.424211	1438.209546	1358.098006	1260.122256	1244.998247	1401.5074	1637.810033	1915.430452	1980.594204	1992.813416
YDR056C	3595.031512	4100.363175	3862.166541	4159.118589	3653.236605	3992.510534	3859.442259	3835.606243	3685.931169	3981.896774	4453.662614	4628.219906	5086.998063	4916.400261	4656.197705	4666.526825
