node	tf_act	tf_rep	target
Ophio5|6920	1	1	1
Ophio5|8604	1	1	1
Ophio5|2137	1	1	1
Ophio5|8321	1	1	1
Ophio5|1479	1	1	1
Ophio5|3760	1	1	1
Ophio5|491	1	1	1
Ophio5|1654	1	1	1
Ophio5|392	1	1	1
Ophio5|2237	1	1	1
