# LEMpy target file for Ophio5|3760, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Computed on:  2025-11-11 12:25:05 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|3760)	571.9431397569678	0.1898	1.0	0.025	0.0	0.15878754953717986	9.599352962078886	29.58143318659023	6.629175231456179	[1, 1, 9.804827990144451, 53.64609173418579, 2529873.3282460053]	1330689847.3821387	1.0	2.863000000274951e-05	1.5020053919999867
tf_act(Ophio5|8584)	540.1149731956643	0.159872	1.0	0.025	0.0	0.24298300116657515	18.891372487573587	47.01588513758023	5.422609200291449	[1, 4.36708360152943, 11.853751032449232, 55.24047811141719, 2529779.8002963173]	7234149117.541833	1.0	3.223899999227342e-05	2.445047794000004
tf_act(Ophio5|84)	575.7792243871223	0.15855	1.0	0.025	0.0	0.11969555808368167	8.4304167838861	69.10473612237249	8.267063726281622	[1, 1, 11.934922838572612, 53.81516573416819, 2529691.254664162]	1624769721.0650344	1.0	3.053699998645243e-05	2.3200628679999937
tf_act(Ophio5|3300)	554.5393839464979	0.129427	1.0	0.025	0.0	0.1555781585193307	9.229573472633556	34.15145340589964	10.0	[1, 1.3214383860107193, 8.332061364792722, 53.47517259496116, 2529871.0262490176]	1489532400.0799062	2.0	2.8584000006048882e-05	2.2433807270000017
tf_rep(Ophio5|1654)	575.8086494634416	0.0848259	1.0	0.025	0.0	0.12852519611672056	7.0107963385334084	26.146368171528863	10.0	[1, 1, 10.46809164373308, 53.51728959512477, 2529951.778164167]	1417339431.7505515	2.0	2.8976999999485997e-05	1.9511100290000059
tf_act(Ophio5|512)	567.5901463452457	0.0604405	1.0	0.025	0.0	0.15393933488222492	9.053294097094694	28.717691020851955	10.0	[1.1714865090024214, 2.8716006187869074, 8.518128768703228, 54.30560235184719, 2529892.6035594614]	3936880671.8433123	2.0	4.781300000900046e-05	2.0913668389999884
tf_rep(Ophio5|1479)	578.129883582909	0.0529997	1.0	0.025	0.0	0.12676739477746435	6.8827015390221575	18.70067793373467	10.0	[1, 2.0912057843127534, 11.399763481196606, 54.652272368777574, 2529962.5933598527]	3296210483.860145	2.0	2.951100000814222e-05	1.2012872779999952
tf_act(Ophio5|8321)	595.7190955697125	0.0434656	1.0	0.025	0.0	0.05450213853503904	5.355837750133182	69.32730508128226	10.0	[1, 1, 17.3325999092822, 54.08378150095285, 2529407.5567677813]	2371098378.513872	2.0	3.483599999754006e-05	2.083840292000005
tf_act(Ophio5|6920)	660.1630440078676	0.0284966	1.0	0.025	0.028353704765490744	0.07224504142755894	7.344070030046543	50.63865439429038	2.592913573824688	[1, 4.413041361162513, 11.470613254490749, 52.62379552576242, 2529420.9650863116]	6737952075.302793	0.0	5.57219999990366e-05	2.0970615899999956
tf_act(Ophio5|392)	642.3778986640001	0.0159006	1.0	0.025	0.0	0.08564862907365905	10.999208140832971	72.46606959738524	2.233481926137061	[1, 3.570382159618741, 19.808347642837514, 60.71511869509841, 2529515.0649361154]	10861681702.923578	1.0	3.668699999082037e-05	1.9933040699999935
tf_act(Ophio5|8604)	656.3346967751337	0.0144946	1.0	0.025	0.0	0.03761195724117457	5.251907694328455	75.60390848637337	10.0	[1, 1, 13.791561302607642, 54.17102348921585, 2529301.3475346686]	1889648602.582881	2.0	3.292300000623527e-05	1.9412832109999982
tf_act(Ophio5|5850)	687.3138526767258	0.0101766	1.0	0.025	0.0	0.07690745779845051	6.117907378730818	60.676517387311556	10.0	[1, 1.0104337235736718, 8.425074255241318, 53.872456077646376, 2529544.2173114736]	1160087162.5610409	2.0	3.0412000000978878e-05	2.1235443269999905
tf_rep(Ophio5|2237)	622.1568705551468	0.00916896	1.0	0.025	0.0	0.061943993236315546	5.27881678316796	19.44725743050749	10.0	[1, 5.64139407632804, 24.170346280721006, 52.91502061329606, 2529516.3074202416]	18250962125.73011	2.0	3.604399999801444e-05	2.1355121180000083
tf_rep(Ophio5|2137)	598.3296630515131	0.00842609	1.0	0.025	0.0	0.07036175923375183	6.460306361047138	10.834189452179107	10.0	[1, 8.152680719126469, 47.2534888419574, 58.17602264433395, 2529942.0240841317]	56700763758.30001	2.0	3.390199999842025e-05	2.5917227400000087
tf_rep(Ophio5|756)	666.9774463234762	0.00631665	1.0	0.025	0.0	0.04713661707401088	6.372337921510384	15.953957807593339	10.0	[1, 2.0732350213001816, 23.870279573724975, 52.55115367178381, 2529555.352926942]	6578584900.954288	2.0	3.022299999599909e-05	2.3331032789999995
tf_rep(Ophio5|392)	871.6615026879718	0.00443222	1.0	0.025	0.2317609432739189	0.01624044562516157	0.2932577603040383	0.037255982405094645	7.592647698947176	[1, 1, 1, 51.873641695691845, 2529227.5318927607]	131200242.75628409	0.0	2.8588000006379843e-05	1.015325261000001
tf_rep(Ophio5|491)	871.6615026879198	0.00221611	1.0	0.025	0.23176024888201552	0.0162404193305794	1.4052607384993165	0.001	9.65979644890981	[1, 1, 1, 51.873641694530335, 2529227.531892762]	131200242.75334643	1.0	2.8395000001069093e-05	1.0570279539999916
tf_rep(Ophio5|6920)	871.6615026879757	0.00221611	1.0	0.025	0.23176049469420862	0.016240433474008654	5.390104110580443	0.001	9.878428939056562	[1, 1, 1, 51.87364169469704, 2529227.5318927625]	131200242.7537681	1.0	0.0001654259999952501	1.1356848730000024
tf_rep(Ophio5|6835)	871.6615026879564	0.00221611	1.0	0.025	0.2317606796820151	0.016240437466909514	0.2932820868389443	0.03728131095059184	10.0	[1, 1, 1, 51.87364169497647, 2529227.5318927616]	131200242.75447479	1.0	3.280199999267097e-05	0.9270456560000042
tf_rep(Ophio5|8321)	871.6615026879682	0.00221611	1.0	0.025	0.23176038221334083	0.0162404298350192	11.603164128806327	0.001	9.45124732186604	[1, 1, 1, 51.87364169453024, 2529227.531892762]	131200242.7533462	1.0	2.8118000003019006e-05	1.0164038279999943
tf_rep(Ophio5|5850)	808.1806548566777	0.001702	1.0	0.025	0.0	0.020831899677935195	3.398610408157553	0.001	8.817458910134453	[1, 1, 3.2868201664104295, 59.81644741186339, 2529253.894094242]	497266252.43264186	2.0	3.169000000013966e-05	1.134657032000007
