# LEMpy local minima file for target Ophio5|8584, replicate 0
# Right-hand side of tf_act():  p0 - p1(tar) + p2(reg^p4) / (p3^p4 + reg^p4)
# Right-hand side of tf_rep():  p0 - p1(tar) + p2(p3^p4) / (p3^p4 + reg^p4)
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt
# Time series data file:   ../tmp/tmp_20251111121609.tsv
# Computed on:  2025-11-11 12:23:42 
 
model	loss	p0	p1	p2	p3	p4
Ophio5|8584=tf_rep(Ophio5|6920)	639.8689949426094	0.3	0.016660395168751282	0.0237677544094919	0.001	1.1065162216435847
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687910976058	0.3	0.016660369010987084	0.0	0.001	1.1042977546334283
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687932908896	0.3	0.01666037103506232	0.0003015706653261658	0.001	1.1283135723727058
Ophio5|8584=tf_rep(Ophio5|6920)	639.868791097631	0.3	0.016660367337744245	0.0	0.06893668558441246	1.154334398779024
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687910976311	0.3	0.016660367329262345	0.0	0.001	1.293810529423372
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687918312162	0.3	0.01666018578074064	0.0013574095384254574	0.002524008006488686	1.6888795225197446
Ophio5|8584=tf_rep(Ophio5|6920)	639.868791097631	0.3	0.016660367335912602	0.0	0.09750055121221796	1.660896002398047
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687910976311	0.3	0.016660367327083245	0.0	0.2796186518123992	1.6168405836930877
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687910976328	0.3	0.016660367241081775	0.0	0.7736968122745315	1.609165467094484
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687916109315	0.3	0.016660392552940734	0.1887117153477763	0.001	2.1686481289696804
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687910976317	0.3	0.0166603672870471	0.0	0.001	2.131952907802218
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687910975885	0.3	0.016660371140447373	9.92455248406248e-15	0.001	2.1612826138845254
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687914573505	0.3	0.01666052692391205	0.003631945875699736	0.005444612334824685	2.2035837368431146
Ophio5|8584=tf_rep(Ophio5|6920)	639.8687910976311	0.3	0.016660367329707187	0.0	0.34575906359504394	2.2055688550770127
Ophio5|8584=tf_rep(Ophio5|6920)	639.868791539359	0.3	0.016660371362248325	0.26218950571922367	0.0010405035411698322	2.2433491547119155
