# LEMpy target file for Ophio5|1479, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Computed on:  2025-11-11 12:24:48 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_rep(Ophio5|392)	309.0244981299531	0.5964	1.0	0.025	0.3	0.12148721278521929	23.17554241897233	9.526261810484018	6.6906249194352805	[1, 10.351906599465627, 71.89209904527682, 102.29782613517214, 1474117.8078339084]	112227711332.35023	1.0	2.913299999818264e-05	2.248814159999995
tf_act(Ophio5|1654)	403.29439618315706	0.114876	1.0	0.025	0.3	0.3453339914629589	37.70907034932845	57.651272840402406	2.0438942066441026	[1, 1, 17.660617259415414, 777.7278593126537, 1474751.2890460624]	20255936148.307674	1.0	3.3041000008893207e-05	1.563762894000007
tf_rep(Ophio5|8321)	435.3294617545192	0.0802056	1.0	0.025	0.3	0.20576914197128365	16.157497055711005	15.367025246553071	8.941156614637176	[1, 1.1248958127496502, 61.601153496482446, 85.1877690747458, 1472226.5461386219]	8690665491.224781	1.0	2.963599999361577e-05	2.1906735000000026
tf_rep(Ophio5|3300)	459.51382223837936	0.0471819	1.0	0.025	0.0	0.1774149790715978	11.24679929139412	34.425836090540244	10.0	[1, 2.405666258710326, 7.374094332730017, 76.62687918271294, 1472093.4372676515]	2001062165.352366	2.0	3.057200000000648e-05	2.176925443000002
tf_rep(Ophio5|8604)	386.9783841690077	0.0335445	1.0	0.025	0.3	0.2888221054050875	26.660974300633754	4.966721426216402	6.32566217727214	[1, 3.005510415581021, 72.44041278037959, 1677.4862515752188, 1478095.8327234553]	539834598825.5417	1.0	2.889799999650222e-05	2.5224113649999964
tf_act(Ophio5|491)	398.2119241070659	0.0295078	1.0	0.025	0.3	0.331708735628803	58.6247460809363	100.0	1.8902620467914286	[1, 1, 51.65277844595827, 1287.0328574444109, 1488181.1225839667]	98932529497.11594	2.0	3.709499999615673e-05	2.1802861070000006
tf_rep(Ophio5|8584)	479.9377885334349	0.0248534	1.0	0.025	0.0	0.17120828953526107	10.928588305105784	39.311225705591255	10.0	[1.4306108653685041, 2.7828573387325175, 6.32220646495668, 75.84661692365279, 1472096.8352802645]	2810306772.8446465	2.0	3.273899999101104e-05	2.130101031999999
tf_rep(Ophio5|512)	469.1714569922057	0.0214382	1.0	0.025	0.0	0.17236435627208996	11.124781097175958	28.755589452662505	10.0	[2.1069896505513768, 2.959253432456721, 8.653224633423838, 77.95279262021394, 1472096.642568265]	6191423920.3356085	2.0	3.376300000468291e-05	2.0013555190000005
tf_rep(Ophio5|3760)	523.5085932290972	0.0184046	1.0	0.025	0.3	0.12021555004174113	7.744672566898126	22.89790076298996	10.0	[1, 1, 6.877225734645058, 72.33645918852565, 1472011.6088664879]	732287736.6945711	2.0	2.8405999998426523e-05	1.632608489000006
tf_act(Ophio5|1479)	536.8036656902435	0.00672221	1.0	0.025	0.3	0.11272319317296867	7.429330802749756	19.44638224396517	10.0	[1, 3.51663036466832, 8.22992913898026, 72.32810924236254, 1472003.8601629105]	3081334728.255538	2.0	3.4216000003084446e-05	2.2721152360000048
tf_rep(Ophio5|84)	580.2450610244726	0.00444295	1.0	0.025	0.0	0.09897246743145575	6.155886591036712	64.90326588879867	10.0	[1, 1.274012007995234, 8.066964331460069, 74.15443745008244, 1472134.0532967956]	1121936201.375177	2.0	2.8674000006390088e-05	2.4009763619999944
tf_act(Ophio5|4218)	574.0828218747304	0.00344388	1.0	0.025	0.0	0.033499999359522685	3.266524989605417	44.38035140410173	10.0	[1, 1, 19.795531609643497, 82.82561992278015, 1471901.2974878629]	2413295774.5547776	2.0	3.1491999990862496e-05	2.043708455000001
tf_act(Ophio5|2237)	543.6203491450725	0.00280948	1.0	0.025	0.0	0.08245374889446427	3.91640703848842	20.76599295039138	10.0	[1, 5.597356768628101, 19.402032284613878, 82.27508145779888, 1472448.2695176299]	13156445741.869852	2.0	2.9049999994867903e-05	2.0787550969999984
