# LEMpy target file for Ophio5|512, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Computed on:  2025-11-11 12:27:36 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|512)	436.1161353329201	0.18461	1.0	0.025	0.0	0.16550712002308102	12.540596227960132	36.46323564143224	10.0	[1, 1.2282362732520897, 7.33617767200761, 35.57906533470648, 2981280.1502183857]	955760512.1608903	2.0	3.315799997949398e-05	2.2555744150000123
tf_act(Ophio5|5850)	458.9140534863919	0.132861	1.0	0.025	0.0	0.09678016204440018	7.291831675266643	55.74794798852664	10.0	[1, 1, 6.21550636763507, 33.89414953017718, 2981234.855832126]	628054666.8630759	2.0	2.8374000009989686e-05	2.3704596200000196
tf_act(Ophio5|3300)	448.7260973013993	0.1139	1.0	0.025	0.0	0.14939476850671443	11.147468264970035	42.38442634470663	10.0	[1, 2.0605570644857734, 6.5105883331571865, 34.46939078066334, 2981276.931648782]	1378608047.054007	2.0	2.914500001338638e-05	2.2846998509999707
tf_act(Ophio5|8584)	470.4441784648857	0.112956	1.0	0.025	1.1777428200945146e-05	0.20770227469042316	29.05716391205434	74.73960548008475	1.8295727566770568	[1, 1, 5.853178957605209, 465.86009276448505, 2986345.1478899736]	8143053937.901711	0.0	2.8485999990834898e-05	1.9704933909999909
tf_act(Ophio5|392)	497.9279022554753	0.0779447	1.0	0.025	0.023248238949158204	0.04877132786202882	4.667890640547002	57.97015187996031	10.0	[1, 1, 12.504068552046036, 32.8902475877905, 2980991.1894655437]	1225968131.8571656	1.0	2.8429999986201437e-05	2.4175139339999987
tf_act(Ophio5|84)	522.95556380885	0.0515682	1.0	0.025	0.0	0.0802061982751537	5.237192821074534	63.988751325013176	5.949350679232335	[1, 1, 8.925022078510642, 34.76441420522312, 2981343.074357239]	925030749.6285024	1.0	2.8202999999393796e-05	1.9805118900000025
tf_act(Ophio5|3760)	519.8003892371626	0.0448083	1.0	0.025	0.0	0.06960545064413867	3.7193066986108563	16.25347318134482	7.153705092709213	[1, 1, 12.73601604815694, 37.04568283935914, 2981560.5373367]	1406743229.252494	1.0	3.093700001954858e-05	2.2011744430000135
tf_act(Ophio5|8321)	496.09692469680505	0.0334882	1.0	0.025	0.0	0.035822538835637435	3.602947537371102	71.13990048844872	10.0	[1, 1, 15.707194145721541, 38.49668489324809, 2980944.665682001]	1802502428.3132255	2.0	3.606200002082005e-05	2.0970282739999675
tf_act(Ophio5|6920)	522.4193873415912	0.0233084	1.0	0.025	0.0	0.04163806529873074	4.321261525684771	60.2383029950368	10.0	[1, 1, 11.60282738240906, 33.504381600527324, 2980951.0070721675]	1158831457.4438186	2.0	6.204900000739144e-05	1.7526879459999805
tf_rep(Ophio5|1479)	520.576754700549	0.0220556	1.0	0.025	0.0	0.07000554776025095	3.7177029538913593	21.331004475373074	10.0	[1, 1, 12.619755879324828, 37.28652201949222, 2981572.9390721084]	1402969621.771271	2.0	2.8025000005982292e-05	2.211258760000021
tf_rep(Ophio5|1654)	523.0417257562864	0.0193588	1.0	0.025	0.0	0.06364302363573758	3.4658413766180094	27.138300093464064	10.0	[1, 1, 15.12127204626045, 36.261408533960555, 2981507.1464144117]	1634815893.6503167	2.0	2.8192000002036366e-05	1.780116086000021
tf_rep(Ophio5|392)	633.8973708520301	0.0157794	1.0	0.025	0.28115794548642264	0.016927386767373147	1.411630228356692	0.001	6.8133793762514845	[1, 1, 1, 32.71531572393127, 2980787.0458703316]	97517389.3114523	1.0	2.8565999997454128e-05	0.9640088019999666
tf_rep(Ophio5|6920)	633.8973708520801	0.0157794	1.0	0.025	0.2811563870274828	0.016927340557943597	0.5251411528236337	0.001	4.287583281965583	[1, 1, 1, 32.7153157233647, 2980787.04587033]	97517389.30976342	1.0	0.000169117000012875	1.1367138019999743
tf_rep(Ophio5|8321)	633.8973708520701	0.0157794	1.0	0.025	0.28115600327936924	0.0169273352506067	1.3205937103578007	0.001	7.390460581586258	[1, 1, 1, 32.71531572342255, 2980787.0458703297]	97517389.30993585	1.0	2.8366999998752362e-05	0.9605757779999635
tf_act(Ophio5|8604)	538.6410805535564	0.0144823	1.0	0.025	0.0	0.026356657041273036	3.16551618265725	73.41553596829374	10.0	[1, 1, 12.58609910667219, 39.56077932408263, 2980870.2439167155]	1484222658.4177823	2.0	2.9038000008085874e-05	1.9555245909999712
