# LEMpy all scores file for replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111115822_lempy/lempy_20251111115822_config.txt 
# Time series data file:   ../tmp/tmp_20251111115822.tsv 
# Ground truth edge list:   
# Computed on:  2025-11-11 12:00:22 
 
model	pld	loss	norm_loss
Ophio5|8604=tf_act(Ophio5|8321)	0.996689	326.99078266149996	0.3027086543993752
Ophio5|491=tf_rep(Ophio5|392)	0.936231	464.77745181216096	0.47336947393728523
Ophio5|6920=tf_act(Ophio5|392)	0.895365	482.01021720662567	0.45806879051882726
Ophio5|1654=tf_rep(Ophio5|392)	0.889808	447.83377882759333	0.5115539924512165
Ophio5|2237=tf_act(Ophio5|3760)	0.8674	418.1273147230486	0.6059864889818312
Ophio5|1479=tf_rep(Ophio5|392)	0.711487	309.0244981300041	0.42239543827716514
Ophio5|392=tf_act(Ophio5|1479)	0.607392	558.8057185970147	0.6086638254838803
Ophio5|2137=tf_rep(Ophio5|392)	0.523016	387.95158699682867	0.47381772888013146
Ophio5|8321=tf_act(Ophio5|8321)	0.431351	536.7598153085738	0.5073248499259718
Ophio5|8321=tf_act(Ophio5|1479)	0.417176	546.2480606545013	0.5162927765644744
Ophio5|3760=tf_act(Ophio5|3760)	0.401056	571.9431397437781	0.6561528047069597
Ophio5|2137=tf_rep(Ophio5|6920)	0.222491	452.37274753159835	0.5524973605648356
Ophio5|3760=tf_rep(Ophio5|1654)	0.179241	575.8086494635156	0.6605874501602892
Ophio5|392=tf_act(Ophio5|2137)	0.151105	591.6445879936513	0.6444326646462738
Ophio5|2137=tf_act(Ophio5|2237)	0.139973	459.81228461601677	0.5615835060618701
Ophio5|8321=tf_act(Ophio5|2137)	0.139237	569.5815023392843	0.5383466532955103
Ophio5|1479=tf_act(Ophio5|1654)	0.137045	403.29439618177395	0.5512498661457589
Ophio5|392=tf_act(Ophio5|1654)	0.114064	618.6730738179755	0.6738727026261534
Ophio5|3760=tf_rep(Ophio5|1479)	0.111991	578.1298835816901	0.663250449628565
Ophio5|3760=tf_act(Ophio5|8321)	0.0918449	595.7190955697182	0.6834293974584144
Ophio5|2137=tf_act(Ophio5|2137)	0.0768228	380.48805575252254	0.4647022785452629
Ophio5|392=tf_act(Ophio5|491)	0.0714227	643.254592930712	0.7006474491282613
Ophio5|3760=tf_act(Ophio5|6920)	0.0602136	660.1630440074052	0.7573617074651785
Ophio5|6920=tf_act(Ophio5|1479)	0.0406819	716.9073912786133	0.6812986320915024
Ophio5|1479=tf_rep(Ophio5|8604)	0.0400176	386.9783841704469	0.5289480451375078
Ophio5|1479=tf_act(Ophio5|491)	0.0352022	398.2119241070906	0.5443028019728267
Ophio5|3760=tf_act(Ophio5|392)	0.0336003	642.3778986599367	0.7369579781589921
