# LEMpy target file for Ophio5|8604, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111115822_lempy/lempy_20251111115822_config.txt 
# Time series data file:   ../tmp/tmp_20251111115822.tsv 
# Computed on:  2025-11-11 12:00:29 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|8321)	326.99078266149996	0.996689	1.0	0.05	0.3	0.16220589131657479	21.196104189752614	71.64489370277342	10.0	[1, 2.9831740055596576, 12.699657109073133, 158.17981735757056, 3050091.4960312475]	18278246014.88286	2.0	3.0265999999556925e-05	2.4815804619999984
tf_act(Ophio5|1479)	612.3189035677999	0.00189016	1.0	0.05	0.0	0.024135946521941693	18.442781009860088	100.0	10.0	[1, 1.3516948495025416, 3.1627726645228558, 159.24308745936767, 3049878.850669906]	2076298609.6427858	3.0	6.276700000107382e-05	1.5901083539999998
tf_act(Ophio5|2137)	628.9581680137554	0.000924003	1.0	0.05	0.0	0.02336436611780899	17.164148850241364	100.0	10.0	[1, 2.0983550901642425, 4.35192137528359, 159.9644931759854, 3049880.188092727]	4455191706.138986	3.0	2.8087999998760438e-05	1.6820856189999986
tf_act(Ophio5|8604)	708.706544049648	0.000299706	1.0	0.05	0.3	0.10489208332746033	15.28360470158527	69.29927430754508	10.0	[1.4096954802157753, 2.3573775654896094, 4.834009576975036, 158.09345297966595, 3050039.119087607]	7746067098.392438	2.0	2.991000000029942e-05	2.3847873690000014
tf_act(Ophio5|6920)	760.7588260207291	0.0000702169	1.0	0.05	0.0	0.07413288750821082	9.944935119858973	58.115112420480585	10.0	[1.8384384640709546, 3.8320514654746742, 6.0727563974773195, 158.45090875653187, 3050060.538522371]	20676140987.55039	2.0	5.6239999999263546e-05	2.241644999
tf_act(Ophio5|392)	784.7656798377624	0.0000675798	1.0	0.05	0.0	0.045916810297058124	7.440431448239619	66.3003620770822	10.0	[1.0540906526959524, 2.2226568176103956, 8.232526913000463, 159.98047279396857, 3050004.8848869205]	9411330917.108776	2.0	2.9595000000881555e-05	2.1073381340000026
tf_rep(Ophio5|2137)	765.2826624954068	0.0000207789	1.0	0.05	0.17233179427104509	0.08795796894419751	33.959220038718264	8.200768545340443	10.0	[1, 3.683142063462129, 144.7473059349159, 490.5357222200925, 3065809.958354653]	801760820356.8256	1.0	2.9098000000615798e-05	2.3003046219999987
tf_rep(Ophio5|8604)	608.386622871556	0.0000119946	1.0	0.05	0.0	0.024044609456592106	100.0	0.621068665700039	10.0	[1, 1, 96.62239746985766, 175760.3521079234, 3559931.221241652]	60456128271433.32	3.0	2.9539999999883548e-05	2.2160382259999984
tf_act(Ophio5|1654)	922.0965191582903	0.00000746628	1.0	0.05	0.0	0.018430994460829898	11.316132061376695	100.0	10.0	[1, 1, 3.604736769120208, 158.71389650246093, 3049881.9712289525]	1744904019.5677922	3.0	3.197000000021433e-05	1.678982211000001
tf_act(Ophio5|491)	961.4648480120222	0.00000425908	1.0	0.05	0.0	0.015974093577095633	9.687471108939606	100.0	10.0	[1, 1, 3.0724992911435, 158.6405173726637, 3049881.6864379067]	1486582106.6443052	3.0	2.9659000000847868e-05	1.7869762949999988
