# LEMpy target file for Ophio5|4218, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Computed on:  2025-11-11 12:27:53 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|997)	482.4874100217201	0.152956	1.0	0.025	0.0	0.0631038792950415	18.684585371541235	100.0	2.618726224167057	[1, 1, 1.9798154821432508, 139.39311277403556, 2749749.1530578686]	758855540.7354314	2.0	3.157100002226798e-05	2.043857282000033
tf_act(Ophio5|4218)	573.7281871000085	0.086502	1.0	0.025	0.13161967960254725	0.023430277606917054	3.038045750952735	70.77961793134703	10.0	[1, 1, 1, 64.90543821004226, 2748565.9843705883]	178396879.6647892	1.0	3.05959999877814e-05	1.8639446409999891
tf_act(Ophio5|8584)	557.9792217618386	0.0560579	1.0	0.025	0.0	0.02550972262319119	4.676762851810273	84.76920821487559	4.109977082435727	[1, 1.392535284519019, 3.3333572275605934, 64.55141477844529, 2748591.0167271374]	823576516.4694434	1.0	3.357600002118488e-05	1.8661924830000203
tf_rep(Ophio5|2237)	565.425385820866	0.0461413	1.0	0.025	0.0	0.018983749048147158	3.9847222348186766	10.298166830342518	4.451718515140689	[1, 1.3284084624881345, 3.677530106688858, 66.12339371146065, 2748566.570715934]	887869762.228495	1.0	2.8931999963788257e-05	2.193710164000038
tf_act(Ophio5|2056)	574.5860653221398	0.0425875	1.0	0.025	0.0	0.016311871790021013	2.555743608082082	81.31912885945134	10.0	[1, 1, 1, 64.58967340378821, 2748552.363682416]	177528099.50345737	2.0	2.8582000027199683e-05	1.5122390960000303
tf_act(Ophio5|6920)	570.1515188359613	0.0418336	1.0	0.025	0.0	0.017035276357556497	5.5117202581768145	100.0	7.24876987603812	[1, 1, 1.3045368837728963, 61.76221408925656, 2748539.0208179243]	221452774.6532456	2.0	4.198200002747399e-05	1.6841625069999964
tf_act(Ophio5|5850)	570.0738664250658	0.0401142	1.0	0.025	0.0	0.01793375516765259	5.3722852305288855	100.0	8.613580354773177	[1, 1, 1.4320721742046258, 61.38742159696355, 2748541.221927929]	241627607.40917668	2.0	3.3915000017259445e-05	1.563170209999953
tf_act(Ophio5|512)	543.9613899588447	0.0326077	1.0	0.025	0.0	0.04048217358713376	3.5296675305506557	50.641247900904204	10.0	[1, 1, 6.485763121916374, 62.02160316897863, 2748750.7459158027]	1105705401.4045334	2.0	3.3380999980181514e-05	1.968267204999961
tf_rep(Ophio5|2056)	589.5170436770198	0.0321677	1.0	0.025	0.0	0.009060249396724692	0.3402650422472058	0.001	9.818950566143528	[1, 1, 1, 60.96881032010856, 2748530.1972880987]	167574616.25754866	2.0	2.4590999998963525e-05	0.9509310900000401
tf_rep(Ophio5|4218)	589.5170436770198	0.0321677	1.0	0.025	0.0	0.009060249391089655	0.06518274113865541	0.001	9.81895116789792	[1, 1, 1, 60.96881032010856, 2748530.1972880987]	167574616.25754866	2.0	2.7975000023161556e-05	0.9294862630000011
