# LEMpy target file for Ophio5|2056, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Computed on:  2025-11-11 12:28:27 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|997)	394.6649813348347	0.0900304	1.0	0.025	0.0	0.07355248829348	21.12341722262618	100.0	2.470859130056768	[1, 1, 5.373172455686587, 188.45853300827173, 2955362.1047131065]	2992659361.4069796	2.0	3.0119999962607835e-05	1.9660120649999726
tf_rep(Ophio5|84)	508.32432262968285	0.0500011	1.0	0.025	0.0	0.010991352779659763	3.4101866745352085	0.11235220617678954	8.1664713871583	[1, 1, 1, 61.78744367031959, 2953440.962055268]	182485567.0766044	1.0	2.9116999996858794e-05	0.9340572320000433
tf_rep(Ophio5|1654)	508.32432262968274	0.0500011	1.0	0.025	0.0	0.010991352841969346	3.4101866745352085	0.11235220617678954	9.485454650316742	[1, 1, 1, 61.78744367064067, 2953440.962055267]	182485567.0775526	1.0	2.805200000466357e-05	0.8173647090000031
tf_rep(Ophio5|756)	508.32432262968274	0.0500011	1.0	0.025	0.0	0.010991352841969346	3.4101866745352085	0.11235220617678954	9.485454650499728	[1, 1, 1, 61.78744367025732, 2953440.9620552687]	182485567.0764205	1.0	3.173000004608184e-05	0.7882448480000335
tf_rep(Ophio5|2056)	508.3243226296825	0.0500011	1.0	0.025	0.0	0.010991353203086902	3.4101866745352085	0.11235220617678954	9.485295202668853	[1, 1, 1, 61.78744367072386, 2953440.9620552687]	182485567.0777984	1.0	2.8447999966374482e-05	0.9425241850000248
tf_rep(Ophio5|392)	508.3243226296832	0.0500011	1.0	0.025	0.0	0.010991352661712184	3.4101866745352085	0.11235220617678954	8.019848560423997	[1, 1, 1, 61.78744367031277, 2953440.9620552673]	182485567.0765842	1.0	2.8499999984887836e-05	0.9194841600000245
tf_rep(Ophio5|4218)	508.32432262968285	0.0500011	1.0	0.025	0.0	0.010991352781342494	3.4101866745352085	0.11235220617678954	9.485261176925778	[1, 1, 1, 61.78744367029458, 2953440.9620552687]	182485567.07653055	1.0	2.9535999999552587e-05	0.8803353619999825
tf_rep(Ophio5|2137)	508.31227182381963	0.0499972	1.0	0.025	0.0	0.011190604347840203	1.494524332896028	5.447819620334107	8.35284921902549	[1, 1, 1, 61.830145740999974, 2953441.3084191903]	182611706.5370482	1.0	2.842599997165962e-05	1.0278298799999561
tf_act(Ophio5|8321)	508.32432262968246	0.0315991	1.0	0.025	2.6118452389865e-20	0.010991353141119594	0.0	98.55937528206654	9.81110519209071	[1, 1, 2.348684228568754, 65.86955970475002, 2953457.4505521352]	456919939.3602001	1.0	4.282699995883377e-05	0.9509971210000003
tf_act(Ophio5|4218)	473.8061901836349	0.0269808	1.0	0.025	0.3	0.03111309185614734	8.433179713574582	100.0	10.0	[1, 1, 1, 62.98309575446994, 2953448.6596947266]	186017339.73946387	3.0	2.9883000024710782e-05	1.548042172999999
tf_act(Ophio5|2056)	474.02035736661804	0.0268415	1.0	0.025	0.3	0.03095253446381995	8.34417579589346	100.0	10.0	[1, 1, 1, 63.01547115479728, 2953448.585779329]	186112954.16435412	3.0	3.227799999194758e-05	1.573630025
tf_rep(Ophio5|2237)	505.86213579683084	0.0253789	1.0	0.025	0.0	0.013560947243895272	1.0389645954240878	11.686875908452187	7.472664269292955	[1, 1, 4.294039160589832, 62.30641669095691, 2953460.0578784174]	790186995.3333565	1.0	2.8649000000768865e-05	1.7378467089999958
tf_rep(Ophio5|6920)	508.3243226296827	0.0250006	1.0	0.025	0.0	0.010991352886670804	0.24276133226419305	0.001	5.693824594528773	[1, 1, 1, 61.78744367035, 2953440.962055268]	182485567.0766942	2.0	0.00017983399999366156	1.0370677390000083
tf_rep(Ophio5|512)	508.3243226296847	0.0250006	1.0	0.025	0.0	0.010991351976989083	0.0	0.8242620257494515	2.6408474801645534	[1, 1, 1, 61.78749838862919, 2953440.962593099]	182485728.71713254	2.0	3.5397999965880445e-05	0.8970823219999602
tf_rep(Ophio5|997)	508.3243226296829	0.0250006	1.0	0.025	0.0	0.010991352749529022	0.16165964043882752	0.001	4.557623023296007	[1, 1, 1, 61.7874436701527, 2953440.9620552687]	182485567.0761115	2.0	3.026399997452245e-05	1.012008594000008
tf_rep(Ophio5|3300)	508.3243226296845	0.0250006	1.0	0.025	0.0	0.010991352032049517	0.0	0.8615592986043892	2.7862521190947365	[1, 1, 1, 61.787464255693344, 2953440.9624588736]	182485627.89922822	2.0	3.039699998907963e-05	0.9701151109999842
tf_rep(Ophio5|8321)	508.3243226296845	0.0250005	1.0	0.025	0.0	0.010991352034513844	0.0	0.876626539858155	2.9500522596884577	[1, 1, 1, 61.78755856343425, 2953440.962837036]	182485906.454939	2.0	2.9254000025957794e-05	0.9635712879999687
tf_act(Ophio5|5850)	505.55341915512173	0.0239544	1.0	0.025	0.0	0.014345024886319323	2.104080657076754	100.0	8.66711218835094	[1, 1, 1.2301989915321174, 61.87270001729771, 2953448.9968288844]	224803935.75802726	2.0	3.004400002737384e-05	1.3100364659999855
tf_act(Ophio5|8584)	505.5754446879303	0.021668	1.0	0.025	0.0	0.015108344076671864	1.9181403830687174	100.0	4.066314403970456	[1, 1, 1.495205437497314, 62.15571093794204, 2953458.831390465]	274481341.4711946	2.0	3.120899998521054e-05	1.7158366649999834
tf_act(Ophio5|2237)	480.1875215466275	0.0209932	1.0	0.025	0.3	0.03041311173474154	7.693059292028999	100.0	10.0	[1, 1, 1.233234034689256, 62.98528526080918, 2953449.2060782546]	229410931.67423174	3.0	3.4748999951261794e-05	1.9490266070000075
tf_act(Ophio5|8604)	508.3243226296825	0.0201355	1.0	0.025	0.0	0.010991353140095125	0.0	99.17333909903724	9.805696183384592	[1, 1, 1.4806989575865857, 64.32916639322306, 2953449.305114374]	281322336.0393915	2.0	2.9289999986303883e-05	0.9128986370000121
tf_act(Ophio5|1654)	508.3243226296826	0.0184633	1.0	0.025	0.0	0.010991353464609515	0.0	98.06487085443037	8.500372972170217	[1, 1, 1.7792567018204997, 63.67083822576265, 2953454.653774631]	334587325.142443	2.0	2.79959999716084e-05	0.9882851669999582
tf_act(Ophio5|3300)	508.3243226296826	0.0179898	1.0	0.025	0.0	0.010991353329054192	0.0	98.73274817852459	9.81110519209071	[1, 1, 1.8892349621964755, 63.162582688337736, 2953448.4648874574]	352431932.30338156	2.0	2.970499997445586e-05	0.9336528129999806
