# LEMpy target file for Ophio5|84, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111120751_lempy/lempy_20251111120751_config.txt 
# Time series data file:   ../tmp/tmp_20251111120751.tsv 
# Computed on:  2025-11-11 12:14:31 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|5850)	294.52694731257236	0.977176	1.0	0.03333333333333333	0.19203872162143124	0.14967764801161082	18.279679505147662	54.15304004108912	6.225876746999618	[1, 1.7506682590492413, 6.310913442588469, 19.082705470649486, 7600271.619082109]	1602378621.4358366	0.0	3.0348000024105204e-05	3.9532570439999972
tf_act(Ophio5|392)	380.7231017029585	0.0194624	1.0	0.03333333333333333	0.3	0.04935308593761067	9.522338527651385	67.76612781861141	10.0	[1.0384063843307967, 2.4325971239632866, 6.229942845731116, 19.18646653682564, 7599817.626101904]	2294667539.136447	2.0	3.448999999022817e-05	2.2869342189999884
tf_act(Ophio5|8321)	483.47569352842726	0.00113154	1.0	0.03333333333333333	0.0	0.02727839387675429	5.7651068009133	78.81709939518085	10.0	[1, 2.6389814450462357, 12.719212652676545, 18.81430825117178, 7599791.313058982]	4799394915.716346	2.0	3.096999998319916e-05	2.2372884110000086
tf_rep(Ophio5|2137)	487.83393318538305	0.000308935	1.0	0.03333333333333333	0.3	0.04138046074456736	11.33471996570914	8.963823180934956	10.0	[1, 2.912518966555795, 15.201284794611139, 156.97106611993962, 7602121.437343656]	52832780624.061005	2.0	3.302300001450931e-05	2.2885831099999905
tf_rep(Ophio5|5850)	593.1921077496395	0.000255413	1.0	0.03333333333333333	0.0	0.016147180576755692	5.238823784258537	0.001	9.84299948221621	[1, 1, 5.172350775678362, 21.04785341117571, 7599712.751608257]	827357023.1377517	2.0	2.898599998957252e-05	1.146755091999978
tf_act(Ophio5|1479)	595.8886919649507	0.000215949	1.0	0.03333333333333333	0.0	0.01612164655854109	10.397150754845477	100.0	10.0	[1, 1, 1.8402631716182887, 18.52306848715912, 7599693.076084674]	259053175.57939354	3.0	3.090900000302099e-05	1.743692870000018
tf_act(Ophio5|8604)	580.3630370292072	0.00018411	1.0	0.03333333333333333	0.0	0.019750126086898318	4.75980485576174	77.38121933258695	10.0	[1, 1.7249802183843745, 11.307474275069374, 18.242614454673255, 7599750.388312726]	2704183355.807072	2.0	3.028300000096351e-05	2.3217579159999957
tf_act(Ophio5|84)	594.1741149308181	0.000178988	1.0	0.03333333333333333	0.3	0.25025200411985477	24.96231080566253	55.56917696878394	4.323302391922968	[1, 1.6781945432218444, 16.12390646889244, 31.46836225407239, 7601520.955728687]	6472725848.912097	1.0	4.282099999386446e-05	2.649556122000007
tf_rep(Ophio5|2237)	528.8526097293826	0.000164788	1.0	0.03333333333333333	0.3	0.042528455375257304	7.306551722773147	16.960172921935694	10.0	[1.5538120367649177, 2.798087075813054, 19.583171032608856, 46.51138027262982, 7599996.048644079]	30096453213.574028	2.0	3.05599999990136e-05	2.6085559939999996
tf_act(Ophio5|2137)	602.650354820223	0.00016407	1.0	0.03333333333333333	0.0	0.015879782072531705	9.676992858006287	100.0	10.0	[1, 1.0274403102198946, 2.3394482552769116, 18.638447982356727, 7599694.142187964]	340467690.18293434	3.0	3.078500000697204e-05	1.9932511479999846
