# LEMpy target file for Ophio5|8604, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111120751_lempy/lempy_20251111120751_config.txt 
# Time series data file:   ../tmp/tmp_20251111120751.tsv 
# Computed on:  2025-11-11 12:12:40 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|8321)	326.99078266169397	0.992298	1.0	0.03333333333333333	0.3	0.16220589401169971	21.19610771240674	71.6449000751365	10.0	[1, 2.983164614437754, 12.699665691986507, 158.17981772857323, 3050091.495970074]	18278200870.014095	2.0	2.9392000001848828e-05	2.5600306190000026
tf_rep(Ophio5|5850)	607.2044888259517	0.00329686	1.0	0.03333333333333333	0.0	0.024020344203567027	9.237674773213687	0.001	8.04361218890719	[1, 1, 6.748397760841046, 161.72446160514048, 3049892.7560546603]	3328594989.4328027	2.0	3.0095999999701917e-05	1.292885903999995
tf_act(Ophio5|1479)	612.3189035677934	0.00188183	1.0	0.03333333333333333	0.0	0.024135944891358764	18.44278155360865	100.0	10.0	[1, 1.3516951887248325, 3.162773316370466, 159.24308752494906, 3049878.8506702464]	2076299559.492823	3.0	2.9454999999956044e-05	1.7895026609999931
tf_act(Ophio5|2137)	628.9581680137435	0.000919931	1.0	0.03333333333333333	0.0	0.02336437105423558	17.1641503779556	100.0	10.0	[1, 2.0983544374944865, 4.351921332647306, 159.96449343403737, 3049880.18809388]	4455190283.9424	3.0	2.958600000013689e-05	1.6458700919999991
tf_act(Ophio5|756)	632.5632506486028	0.000912222	1.0	0.03333333333333333	0.0	0.023107269346671348	16.80853333011993	100.0	10.0	[1, 1.8242902268551149, 4.403226678487474, 160.20943078417235, 3049880.4526035176]	3924965728.082533	3.0	2.9558000001372875e-05	1.7345241070000021
tf_act(Ophio5|8604)	708.7065440496035	0.000298385	1.0	0.03333333333333333	0.3	0.10489203659300397	15.283601020977402	69.29928075523597	10.0	[1.409695566991623, 2.3573745787562026, 4.834008631042912, 158.09345298608642, 3050039.1189954677]	7746056245.466352	2.0	3.067399999778786e-05	2.495763642
tf_rep(Ophio5|84)	618.1389157674311	0.0000888649	1.0	0.03333333333333333	0.0	0.02422419199423189	100.0	7.0529767566391115	10.0	[1, 1.5751274417359418, 92.09995303885027, 1662.1734307186427, 3053759.9030529903]	736353458415.7513	3.0	0.00017569299999919963	1.943690784000001
tf_rep(Ophio5|3300)	615.9478959854342	0.0000747572	1.0	0.03333333333333333	0.0	0.024180782573722595	100.0	5.620370391939816	10.0	[1, 1.5494168447695291, 93.58196640109935, 2564.752177142348, 3055916.381076265]	1136442098510.2517	3.0	3.139500000060025e-05	2.2144011310000025
tf_act(Ophio5|6920)	760.7588260209412	0.0000699075	1.0	0.03333333333333333	0.0	0.07413286430918084	9.94492945122245	58.11510007373339	10.0	[1.8384394826474382, 3.832049392482193, 6.072753683578204, 158.45090778499468, 3050060.5386032644]	20676131891.70581	2.0	2.982400000206553e-05	2.3835091839999976
tf_act(Ophio5|392)	784.7656798377061	0.000067282	1.0	0.03333333333333333	0.0	0.04591681779647554	7.440431291076557	66.3003549046382	10.0	[1.0540919164976592, 2.2226565778297775, 8.232527371074845, 159.9804722243357, 3050004.8849415677]	9411341675.848381	2.0	2.9995999998533307e-05	2.149329095999999
tf_rep(Ophio5|2137)	765.2826624942686	0.0000206873	1.0	0.03333333333333333	0.17233586017258848	0.0879583221071211	33.959456978266246	8.200763432859278	10.0	[1, 3.6830897556588447, 144.74744941002876, 490.53930173694084, 3065810.119708279]	801756121186.5327	1.0	3.0576000000337444e-05	2.370579891000002
tf_act(Ophio5|5850)	876.0595469287576	0.0000158941	1.0	0.03333333333333333	0.0	0.03622177734451571	5.505078780500571	69.6529736850219	10.0	[1, 1.623696988578888, 8.757632210386047, 163.45036548505976, 3050029.086068301]	7088944309.785538	2.0	2.929700000109392e-05	2.1945928549999962
tf_rep(Ophio5|8604)	608.3866228714323	0.0000119417	1.0	0.03333333333333333	0.0	0.024044626477125245	100.0	0.621068720913801	10.0	[1, 1, 96.62245617753709, 175760.71057641384, 3559931.933813234]	60456300407874.29	3.0	4.2064000002284274e-05	2.4583607799999996
tf_rep(Ophio5|2237)	862.3093769267504	0.00000785033	1.0	0.03333333333333333	0.12014045961004113	0.1195740075601432	12.53335138250463	19.861774932037527	10.0	[1.9135993322361378, 5.765520709527658, 33.87384948722715, 162.54818974954102, 3050386.193592433]	185306675451.2548	1.0	3.1046999996675595e-05	2.5774437349999992
tf_act(Ophio5|1654)	922.0965191582909	0.00000743338	1.0	0.03333333333333333	0.0	0.018430995095190677	11.316134104287217	100.0	10.0	[1, 1, 3.6047377042573743, 158.71389665238885, 3049881.9712305698]	1744904473.8782642	3.0	3.375400000038553e-05	1.7338354329999994
tf_rep(Ophio5|1654)	1080.2161679529952	0.00000465347	1.0	0.03333333333333333	0.3	0.004196158869387968	81.27192075155	0.4261339009802212	9.836179241481348	[1, 1, 1, 157.19384320116794, 3049866.4432434575]	479420227.4637158	1.0	3.630899999862436e-05	0.9202365310000005
tf_rep(Ophio5|756)	904.5295122749785	0.00000459481	1.0	0.03333333333333333	0.3	0.147202464153191	23.517993464424862	16.27980343186439	10.0	[1, 1, 66.15271003871734, 161.7208663823528, 3053561.1273837136]	32667832337.06367	2.0	3.003699999837295e-05	2.394158007999998
tf_act(Ophio5|491)	961.4648480120227	0.00000424031	1.0	0.03333333333333333	0.0	0.01597409107788377	9.687469190410006	100.0	10.0	[1, 1, 3.072498619897946, 158.64051725240955, 3049881.6864365595]	1486581780.7448118	3.0	3.0025000000932778e-05	1.734738397000001
tf_rep(Ophio5|512)	770.3366578231959	0.00000392923	1.0	0.03333333333333333	0.0	0.02350893815789567	100.0	6.0164971309340345	10.0	[1, 2.7175392728801424, 86.74288924667519, 1607.169272898825, 3055157.18935802]	1157457072934.86	3.0	2.9734999998254352e-05	2.159715878
