# LEMpy target file for Ophio5|8321, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111115822_lempy/lempy_20251111115822_config.txt 
# Time series data file:   ../tmp/tmp_20251111115822.tsv 
# Computed on:  2025-11-11 12:00:45 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|8321)	536.7598153085738	0.431351	1.0	0.05	0.3	0.08712406480034819	14.165256854983769	76.33970539466617	10.0	[1.0002463401946013, 2.180253910687943, 8.865084828334098, 82.26174535252721, 4257685.4107434135]	6771243472.400379	2.0	4.339999999913857e-05	2.338237178
tf_act(Ophio5|1479)	546.2480606545013	0.417176	1.0	0.05	0.0	0.02909898856820233	20.639055685110055	100.0	10.0	[1, 1, 3.4702869917219954, 81.47509902915016, 4257549.494419945]	1203787958.2904525	3.0	4.989900000040848e-05	1.7976193180000024
tf_act(Ophio5|2137)	569.5815023392843	0.139237	1.0	0.05	0.0	0.02831770715057931	19.15585574431673	100.0	10.0	[1, 2.3465531334537895, 4.903100249156457, 82.14347615090688, 4257551.175412139]	4023778999.4684644	3.0	2.919299999959435e-05	1.8196475519999993
tf_act(Ophio5|8604)	771.2100727093931	0.00505602	1.0	0.05	0.3	0.057701259034258316	9.876545098446561	72.2281682765763	10.0	[1, 2.7658744897385907, 5.075971741430031, 82.87628447144422, 4257653.482768702]	4953957192.594939	2.0	3.57430000015313e-05	2.1632091849999995
tf_rep(Ophio5|8604)	543.4622789131532	0.00215339	1.0	0.05	0.0	0.028972546480667778	100.0	0.6287413275725459	10.0	[1, 1, 57.10567691551246, 182278.12015857396, 4890597.974409582]	50906798879131.375	3.0	4.0894999997931336e-05	2.508825371999997
tf_act(Ophio5|1654)	839.8434212049979	0.00139763	1.0	0.05	0.0	0.025213080901380823	13.869676108103253	100.0	10.0	[1, 1.0917472552674836, 3.818500724794903, 81.30063094098014, 4257553.036852271]	1443008764.2684758	3.0	3.6156000000175936e-05	1.6475021870000006
tf_act(Ophio5|6920)	819.6684969675389	0.00124451	1.0	0.05	0.3	0.09162777232962928	12.149436796787734	56.765519192504016	10.0	[1.7011974345277434, 4.318184586152981, 5.823924088861581, 80.50944021134157, 4257746.072577105]	14665544483.199913	2.0	4.059799999822644e-05	2.2865658090000025
tf_act(Ophio5|491)	883.8490491209408	0.000746524	1.0	0.05	0.0	0.02293586422812951	12.073954456492402	100.0	10.0	[1, 1, 3.265955832047381, 81.2358532839925, 4257552.355186718]	1129582748.2302926	3.0	2.944699999929412e-05	1.7573477039999972
tf_act(Ophio5|392)	890.9487284431367	0.000640083	1.0	0.05	0.0	0.04345075824141489	7.206778123787111	66.26083147636993	10.0	[1.1619974078255089, 1.8824405816689203, 6.488664756847095, 80.136841772615, 4257677.631857967]	4842691139.077642	2.0	3.3315999999672385e-05	2.2462043399999985
tf_rep(Ophio5|491)	1058.0199558269167	0.000165762	1.0	0.05	0.0	0.002525815801981126	1.6752649979347969	0.001	4.115112995874315	[1, 1, 1, 79.97552703852631, 4257534.818239433]	340498590.97357494	2.0	2.8405000001896497e-05	1.2833704499999996
